관서,인구수
강남구,825976
강동구,484591
강북구,309634
강서구,551411
관악구,503205
광진구,396879
구로구,401569
금천구,241014
노원구,522414
도봉구,302940
동대문구,385574
동작구,424502
마포구,476153
서대문구,402986
서초구,599890
성동구,363801
성북구,478275
송파구,725101
양천구,406795
영등포구,472294
용산구,317073
은평구,429106
종로구,316272
중구,321179
중랑구,305202
