지방청,관서,발생건수(2013년)
서울,서울지방경찰청,40 
서울,서울중부경찰서,8013 
서울,서울종로경찰서,6782 
서울,서울남대문경찰서,6021 
서울,서울서대문경찰서,10315 
서울,서울혜화경찰서,6183 
서울,서울용산경찰서,11483 
서울,서울성북경찰서,7189 
서울,서울동대문경찰서,13168 
서울,서울마포경찰서,14216 
서울,서울영등포경찰서,20317 
서울,서울성동경찰서,9996 
서울,서울동작경찰서,11315 
서울,서울광진경찰서,14723 
서울,서울서부경찰서,5760 
서울,서울강북경찰서,11033 
서울,서울금천경찰서,11998 
서울,서울중랑경찰서,12683 
서울,서울강남경찰서,21464 
서울,서울관악경찰서,17221 
서울,서울강서경찰서,16784 
서울,서울강동경찰서,14013 
서울,서울종암경찰서,5838 
서울,서울구로경찰서,15521 
서울,서울서초경찰서,16166 
서울,서울양천경찰서,13670 
서울,서울송파경찰서,18384 
서울,서울노원경찰서,13379 
서울,서울방배경찰서,5094 
서울,서울은평경찰서,8164 
서울,서울도봉경찰서,8290 
서울,서울수서경찰서,13360 
부산,부산지방경찰청,112 
부산,부산중부경찰서,4484 
부산,부산동래경찰서,11405 
부산,부산영도경찰서,3447 
부산,부산동부경찰서,6123 
부산,부산진경찰서,17803 
부산,부산서부경찰서,4632 
부산,부산남부경찰서,14230 
부산,부산해운대경찰서,13661 
부산,부산사상경찰서,11185 
부산,부산금정경찰서,10056 
부산,부산사하경찰서,10144 
부산,부산연제경찰서,9853 
부산,부산강서경찰서,3918 
부산,부산북부경찰서,7923 
부산,부산기장경찰서,4653 
대구,대구지방경찰청,4 
대구,대구중부경찰서,8486 
대구,대구동부경찰서,13251 
대구,대구서부경찰서,10389 
대구,대구남부경찰서,7829 
대구,대구북부경찰서,10139 
대구,대구수성경찰서,14014 
대구,대구달서경찰서,8959 
대구,대구성서경찰서,13435 
대구,대구달성경찰서,4910 
대구,대구강북경찰서,4770 
인천,인천중부경찰서,8489 
인천,인천남부경찰서,18452 
인천,인천남동경찰서,17862 
인천,인천부평경찰서,9663 
인천,인천삼산경찰서,7653 
인천,인천서부경찰서,13359 
인천,인천계양경찰서,10254 
인천,인천연수경찰서,7996 
인천,인천강화경찰서,1542 
광주,광주지방경찰청,16 
광주,광주동부경찰서,7125 
광주,광주서부경찰서,17607 
광주,광주남부경찰서,8111 
광주,광주북부경찰서,18328 
광주,광주광산경찰서,16782 
대전,대전지방경찰청,1 
대전,대전중부경찰서,9292 
대전,대전동부경찰서,8413 
대전,대전서부경찰서,6941 
대전,대전대덕경찰서,6371 
대전,대전둔산경찰서,17466 
울산,울산지방경찰청,3 
울산,울산중부경찰서,11741 
울산,울산남부경찰서,14470 
울산,울산동부경찰서,6841 
울산,울산울주경찰서,7793 
경기,경기지방경찰청,19 
경기,경기수원중부경찰서,12837 
경기,경기수원남부경찰서,16965 
경기,경기수원서부경찰서,9555 
경기,경기안양동안경찰서,9540 
경기,경기안양만안경찰서,9308 
경기,경기군포경찰서,7532 
경기,경기성남수정경찰서,9351 
경기,경기성남중원경찰서,10495 
경기,경기분당경찰서,11832 
경기,경기부천소사경찰서,7632 
경기,경기부천원미경찰서,21492 
경기,경기부천오정경찰서,6667 
경기,경기의정부경찰서,15159 
경기,경기고양경찰서,13219 
경기,경기일산경찰서,17833 
경기,경기광명경찰서,9176 
경기,경기안산단원경찰서,15258 
경기,경기안산상록경찰서,11270 
경기,경기시흥경찰서,17986 
경기,경기평택경찰서,17941 
경기,경기남양주경찰서,14459 
경기,경기화성동부경찰서,14713 
경기,경기화성서부경찰서,9315 
경기,경기용인동부경찰서,12629 
경기,경기용인서부경찰서,7653 
경기,경기광주경찰서,9653 
경기,경기파주경찰서,13117 
경기,경기김포경찰서,9426 
경기,경기과천경찰서,1607 
경기,경기의왕경찰서,3472 
경기,경기양주경찰서,6615 
경기,경기동두천경찰서,3884 
경기,경기구리경찰서,7442 
경기,경기하남경찰서,4786 
경기,경기이천경찰서,7319 
경기,경기포천경찰서,6780 
경기,경기안성경찰서,6546 
경기,경기여주경찰서,3774 
경기,경기양평경찰서,3589 
경기,경기가평경찰서,2743 
경기,경기연천경찰서,1374 
강원,강원지방경찰청,2 
강원,강원춘천경찰서,12099 
강원,강원강릉경찰서,7652 
강원,강원원주경찰서,14299 
강원,강원동해경찰서,3243 
강원,강원태백경찰서,1449 
강원,강원속초경찰서,4865 
강원,강원삼척경찰서,2448 
강원,강원영월경찰서,1138 
강원,강원정선경찰서,1874 
강원,강원홍천경찰서,2546 
강원,강원평창경찰서,1611 
강원,강원횡성경찰서,1366 
강원,강원고성경찰서,947 
강원,강원인제경찰서,825 
강원,강원철원경찰서,1128 
강원,강원화천경찰서,527 
강원,강원양구경찰서,514 
충북,충북지방경찰청,3 
충북,충북청주흥덕경찰서,12402 
충북,충북청주상당경찰서,6225 
충북,충북청주청원경찰서,8095 
충북,충북충주경찰서,7761 
충북,충북제천경찰서,4862 
충북,충북영동경찰서,1091 
충북,충북괴산경찰서,1980 
충북,충북단양경찰서,851 
충북,충북보은경찰서,763 
충북,충북옥천경찰서,1443 
충북,충북음성경찰서,4101 
충북,충북진천경찰서,2488 
충남,충남지방경찰청,5 
충남,충남천안서북경찰서,13270 
충남,충남천안동남경찰서,10246 
충남,충남서산경찰서,6911 
충남,충남논산경찰서,4573 
충남,충남아산경찰서,8080 
충남,충남공주경찰서,3633 
충남,충남보령경찰서,4052 
충남,충남당진경찰서,5340 
충남,충남세종경찰서,3538 
충남,충남홍성경찰서,3037 
충남,충남예산경찰서,2307 
충남,충남부여경찰서,1763 
충남,충남서천경찰서,1529 
충남,충남금산경찰서,1530 
충남,충남청양경찰서,759 
전북,전북지방경찰청,18 
전북,전북전주완산경찰서,11283 
전북,전북전주덕진경찰서,10767 
전북,전북군산경찰서,10047 
전북,전북익산경찰서,10878 
전북,전북정읍경찰서,3240 
전북,전북남원경찰서,2597 
전북,전북김제경찰서,2747 
전북,전북완주경찰서,2343 
전북,전북고창경찰서,1537 
전북,전북부안경찰서,1745 
전북,전북임실경찰서,566 
전북,전북순창경찰서,547 
전북,전북진안경찰서,478 
전북,전북장수경찰서,385 
전북,전북무주경찰서,728 
전남,전남지방경찰청,161 
전남,전남목포경찰서,13396 
전남,전남여수경찰서,10371 
전남,전남순천경찰서,10275 
전남,전남나주경찰서,3480 
전남,전남광양경찰서,5365 
전남,전남고흥경찰서,1703 
전남,전남해남경찰서,2214 
전남,전남무안경찰서,2214 
전남,전남장흥경찰서,1423 
전남,전남보성경찰서,1237 
전남,전남영광경찰서,1463 
전남,전남화순경찰서,1796 
전남,전남함평경찰서,939 
전남,전남영암경찰서,2317 
전남,전남장성경찰서,1222 
전남,전남강진경찰서,1097 
전남,전남담양경찰서,1405 
전남,전남곡성경찰서,769 
전남,전남완도경찰서,1383 
전남,전남진도경찰서,914 
전남,전남구례경찰서,744 
경북,경북지방경찰청,5 
경북,경북경주경찰서,11455 
경북,경북포항북부경찰서,9410 
경북,경북포항남부경찰서,10492 
경북,경북구미경찰서,19632 
경북,경북경산경찰서,9046 
경북,경북안동경찰서,5934 
경북,경북김천경찰서,4559 
경북,경북영주경찰서,3053 
경북,경북영천경찰서,3860 
경북,경북상주경찰서,3023 
경북,경북문경경찰서,2185 
경북,경북칠곡경찰서,4334 
경북,경북의성경찰서,1107 
경북,경북청도경찰서,1195 
경북,경북영덕경찰서,1246 
경북,경북울진경찰서,1448 
경북,경북봉화경찰서,740 
경북,경북예천경찰서,806 
경북,경북성주경찰서,1546 
경북,경북청송경찰서,701 
경북,경북영양경찰서,390 
경북,경북군위경찰서,617 
경북,경북고령경찰서,1184 
경북,경북울릉경찰서,194 
경남,경남지방경찰청,13 
경남,경남창원중부경찰서,9100 
경남,경남창원서부경찰서,7461 
경남,경남마산중부경찰서,6431 
경남,경남마산동부경찰서,8233 
경남,경남진주경찰서,12476 
경남,경남김해중부경찰서,13267 
경남,경남김해서부경찰서,7179 
경남,경남거제경찰서,10034 
경남,경남양산경찰서,10374 
경남,경남진해경찰서,5230 
경남,경남통영경찰서,5787 
경남,경남사천경찰서,3767 
경남,경남밀양경찰서,3340 
경남,경남거창경찰서,1718 
경남,경남합천경찰서,1059 
경남,경남창녕경찰서,1884 
경남,경남고성경찰서,1796 
경남,경남하동경찰서,1260 
경남,경남남해경찰서,1291 
경남,경남함양경찰서,1009 
경남,경남산청경찰서,964 
경남,경남함안경찰서,2165 
경남,경남의령경찰서,771 
제주,제주지방경찰청,51 
제주,제주동부경찰서,13075 
제주,제주서부경찰서,10480 
제주,제주서귀포경찰서,7617 
