지방청,관서,발생건수(2012년)
서울,서울지방경찰청,49 
서울,서울중부경찰서,7814 
서울,서울종로경찰서,6285 
서울,서울남대문경찰서,6284 
서울,서울서대문경찰서,10545 
서울,서울혜화경찰서,6306 
서울,서울용산경찰서,9746 
서울,서울성북경찰서,6589 
서울,서울동대문경찰서,13852 
서울,서울마포경찰서,14061 
서울,서울영등포경찰서,19455 
서울,서울성동경찰서,9381 
서울,서울동작경찰서,10403 
서울,서울광진경찰서,14111 
서울,서울서부경찰서,5765 
서울,서울강북경찰서,10921 
서울,서울금천경찰서,10740 
서울,서울중랑경찰서,13379 
서울,서울강남경찰서,21316 
서울,서울관악경찰서,15626 
서울,서울강서경찰서,16837 
서울,서울강동경찰서,13675 
서울,서울종암경찰서,5616 
서울,서울구로경찰서,15258 
서울,서울서초경찰서,15004 
서울,서울양천경찰서,12928 
서울,서울송파경찰서,19360 
서울,서울노원경찰서,12635 
서울,서울방배경찰서,4885 
서울,서울은평경찰서,7791 
서울,서울도봉경찰서,8848 
서울,서울수서경찰서,13069 
부산,부산지방경찰청,70 
부산,부산중부경찰서,4863 
부산,부산동래경찰서,10680 
부산,부산영도경찰서,3716 
부산,부산동부경찰서,5902 
부산,부산진경찰서,17855 
부산,부산서부경찰서,4449 
부산,부산남부경찰서,12561 
부산,부산해운대경찰서,15106 
부산,부산사상경찰서,9938 
부산,부산금정경찰서,9954 
부산,부산사하경찰서,10364 
부산,부산연제경찰서,9379 
부산,부산강서경찰서,4150 
부산,부산북부경찰서,7919 
부산,부산기장경찰서,4574 
대구,대구지방경찰청,1 
대구,대구중부경찰서,8938 
대구,대구동부경찰서,13183 
대구,대구서부경찰서,9554 
대구,대구남부경찰서,7694 
대구,대구북부경찰서,15861 
대구,대구수성경찰서,15289 
대구,대구달서경찰서,8882 
대구,대구성서경찰서,13571 
대구,대구달성경찰서,4948 
인천,인천지방경찰청,1 
인천,인천중부경찰서,8178 
인천,인천남부경찰서,16984 
인천,인천남동경찰서,16206 
인천,인천부평경찰서,9682 
인천,인천삼산경찰서,7785 
인천,인천서부경찰서,12809 
인천,인천계양경찰서,9393 
인천,인천연수경찰서,7237 
인천,인천강화경찰서,1636 
광주,광주지방경찰청,7 
광주,광주동부경찰서,7567 
광주,광주서부경찰서,16849 
광주,광주남부경찰서,7089 
광주,광주북부경찰서,19615 
광주,광주광산경찰서,16145 
대전,대전지방경찰청,1 
대전,대전중부경찰서,9465 
대전,대전동부경찰서,8468 
대전,대전서부경찰서,5920 
대전,대전대덕경찰서,5983 
대전,대전둔산경찰서,15326 
울산,울산지방경찰청,3 
울산,울산중부경찰서,10621 
울산,울산남부경찰서,13479 
울산,울산동부경찰서,5977 
울산,울산울주경찰서,7282 
경기,경기지방경찰청,33 
경기,경기수원중부경찰서,12638 
경기,경기수원남부경찰서,16123 
경기,경기수원서부경찰서,9471 
경기,경기안양동안경찰서,8912 
경기,경기안양만안경찰서,8719 
경기,경기군포경찰서,7603 
경기,경기성남수정경찰서,9340 
경기,경기성남중원경찰서,9961 
경기,경기분당경찰서,11309 
경기,경기부천소사경찰서,7615 
경기,경기부천원미경찰서,21455 
경기,경기부천오정경찰서,6198 
경기,경기의정부경찰서,14966 
경기,경기고양경찰서,12139 
경기,경기일산경찰서,16099 
경기,경기광명경찰서,8498 
경기,경기안산단원경찰서,14174 
경기,경기안산상록경찰서,11762 
