지방청,관서,발생건수(2016년)
서울,서울중부경찰서,7555 
서울,서울종로경찰서,6923 
서울,서울남대문경찰서,6011 
서울,서울서대문경찰서,9524 
서울,서울혜화경찰서,6440 
서울,서울용산경찰서,11670 
서울,서울성북경찰서,5959 
서울,서울동대문경찰서,12699 
서울,서울마포경찰서,15478 
서울,서울영등포경찰서,19311 
서울,서울성동경찰서,8550 
서울,서울동작경찰서,9296 
서울,서울광진경찰서,13080 
서울,서울서부경찰서,4527 
서울,서울강북경찰서,10266 
서울,서울금천경찰서,11600 
서울,서울중랑경찰서,12624 
서울,서울강남경찰서,20917 
서울,서울관악경찰서,15809 
서울,서울강서경찰서,16160 
서울,서울강동경찰서,11821 
서울,서울종암경찰서,4875 
서울,서울구로경찰서,14613 
서울,서울서초경찰서,15504 
서울,서울양천경찰서,10900 
서울,서울송파경찰서,18948 
서울,서울노원경찰서,11814 
서울,서울방배경찰서,4486 
서울,서울은평경찰서,6573 
서울,서울도봉경찰서,7041 
서울,서울수서경찰서,12130 
부산,부산중부경찰서,4873 
부산,부산동래경찰서,9399 
부산,부산영도경찰서,3770 
부산,부산동부경찰서,5429 
부산,부산진경찰서,18606 
부산,부산서부경찰서,4354 
부산,부산남부경찰서,15397 
부산,부산해운대경찰서,13630 
부산,부산사상경찰서,9139 
부산,부산금정경찰서,8209 
부산,부산사하경찰서,10040 
부산,부산연제경찰서,10113 
부산,부산강서경찰서,4140 
부산,부산북부경찰서,7688 
부산,부산기장경찰서,4424 
대구,대구중부경찰서,6970 
대구,대구동부경찰서,12045 
대구,대구서부경찰서,8477 
대구,대구남부경찰서,7144 
대구,대구북부경찰서,8395 
대구,대구수성경찰서,11793 
대구,대구달서경찰서,8449 
대구,대구성서경찰서,10958 
대구,대구달성경찰서,4847 
대구,대구강북경찰서,7072 
인천,인천중부경찰서,8553 
인천,인천남부경찰서,17563 
인천,인천남동경찰서,18772 
인천,인천부평경찰서,9349 
인천,인천삼산경찰서,9198 
인천,인천서부경찰서,16658 
인천,인천계양경찰서,8788 
인천,인천연수경찰서,9445 
인천,인천강화경찰서,2061 
광주,광주동부경찰서,5976 
광주,광주서부경찰서,13717 
광주,광주남부경찰서,5810 
광주,광주북부경찰서,15173 
광주,광주광산경찰서,13595 
대전,대전중부경찰서,9949 
대전,대전동부경찰서,8346 
대전,대전서부경찰서,6499 
대전,대전대덕경찰서,5684 
대전,대전둔산경찰서,9316 
대전,대전유성경찰서,9244 
울산,울산중부경찰서,11918 
울산,울산남부경찰서,14264 
울산,울산동부경찰서,6195 
울산,울산울주경찰서,7422 
경기남부,경기수원중부경찰서,17181 
경기남부,경기수원남부경찰서,21876 
경기남부,경기수원서부경찰서,11657 
경기남부,경기안양동안경찰서,10415 
경기남부,경기안양만안경찰서,9383 
경기남부,경기군포경찰서,8255 
경기남부,경기성남수정경찰서,11678 
경기남부,경기성남중원경찰서,10746 
경기남부,경기분당경찰서,15293 
경기남부,경기부천소사경찰서,7396 
경기남부,경기부천원미경찰서,22341 
경기남부,경기부천오정경찰서,6561 
경기남부,경기광명경찰서,10677 
경기남부,경기안산단원경찰서,20587 
경기남부,경기안산상록경찰서,15963 
경기남부,경기시흥경찰서,23517 
경기남부,경기평택경찰서,25169 
경기남부,경기화성동부경찰서,17324 
경기남부,경기화성서부경찰서,14645 
경기남부,경기용인동부경찰서,16764 
