지방청,관서,발생건수(2011년)
서울,서울지방경찰청,41 
서울,서울중부경찰서,9295 
서울,서울종로경찰서,6505 
서울,서울남대문경찰서,6575 
서울,서울서대문경찰서,9951 
서울,서울혜화경찰서,6642 
서울,서울용산경찰서,10213 
서울,서울성북경찰서,6256 
서울,서울동대문경찰서,13674 
서울,서울마포경찰서,13146 
서울,서울영등포경찰서,18486 
서울,서울성동경찰서,9306 
서울,서울동작경찰서,10317 
서울,서울광진경찰서,12956 
서울,서울서부경찰서,5510 
서울,서울강북경찰서,11045 
서울,서울금천경찰서,10508 
서울,서울중랑경찰서,15010 
서울,서울강남경찰서,21333 
서울,서울관악경찰서,15492 
서울,서울강서경찰서,17720 
서울,서울강동경찰서,13094 
서울,서울종암경찰서,5370 
서울,서울구로경찰서,15360 
서울,서울서초경찰서,15498 
서울,서울양천경찰서,13457 
서울,서울송파경찰서,20470 
서울,서울노원경찰서,12181 
서울,서울방배경찰서,4820 
서울,서울은평경찰서,7238 
서울,서울도봉경찰서,7906 
서울,서울수서경찰서,13245 
부산,부산지방경찰청,22 
부산,부산중부경찰서,4733 
부산,부산동래경찰서,11249 
부산,부산영도경찰서,3584 
부산,부산동부경찰서,6258 
부산,부산진경찰서,16995 
부산,부산서부경찰서,4969 
부산,부산남부경찰서,12152 
부산,부산해운대경찰서,14833 
부산,부산사상경찰서,8890 
부산,부산금정경찰서,8655 
부산,부산사하경찰서,9462 
부산,부산연제경찰서,9261 
부산,부산강서경찰서,3761 
부산,부산북부경찰서,7403 
부산,부산기장경찰서,4184 
대구,대구지방경찰청,1 
대구,대구중부경찰서,7706 
대구,대구동부경찰서,13981 
대구,대구서부경찰서,10079 
대구,대구남부경찰서,7427 
대구,대구북부경찰서,15191 
대구,대구수성경찰서,15505 
대구,대구달서경찰서,8873 
대구,대구성서경찰서,12622 
대구,대구달성경찰서,4880 
인천,인천지방경찰청,13 
인천,인천중부경찰서,7100 
인천,인천남부경찰서,16623 
인천,인천남동경찰서,15891 
인천,인천부평경찰서,7775 
인천,인천삼산경찰서,7382 
인천,인천서부경찰서,10902 
인천,인천계양경찰서,9112 
인천,인천연수경찰서,6602 
인천,인천강화경찰서,1470 
광주,광주동부경찰서,7758 
광주,광주서부경찰서,15602 
광주,광주남부경찰서,7359 
광주,광주북부경찰서,18241 
광주,광주광산경찰서,14712 
대전,대전중부경찰서,10662 
대전,대전동부경찰서,8973 
대전,대전서부경찰서,6238 
대전,대전대덕경찰서,6736 
대전,대전둔산경찰서,14864 
울산,울산중부경찰서,10679 
울산,울산남부경찰서,14480 
울산,울산동부경찰서,5256 
울산,울산울주경찰서,6433 
경기,경기지방경찰청,57 
경기,경기수원중부경찰서,13042 
경기,경기수원남부경찰서,15289 
경기,경기수원서부경찰서,8450 
경기,경기안양동안경찰서,8705 
경기,경기안양만안경찰서,8734 
경기,경기군포경찰서,6732 
경기,경기성남수정경찰서,10055 
경기,경기성남중원경찰서,9024 
경기,경기분당경찰서,10566 
경기,경기부천소사경찰서,6967 
경기,경기부천원미경찰서,18886 
경기,경기부천오정경찰서,5597 
경기,경기의정부경찰서,15712 
경기,경기고양경찰서,11588 
경기,경기일산경찰서,15130 
경기,경기광명경찰서,7952 
경기,경기안산단원경찰서,13670 
경기,경기안산상록경찰서,11348 
경기,경기시흥경찰서,16107 
경기,경기평택경찰서,18623 
경기,경기남양주경찰서,13639 
경기,경기화성동부경찰서,11332 
경기,경기화성서부경찰서,9840 
경기,경기용인동부경찰서,11953 
경기,경기용인서부경찰서,7195 
경기,경기광주경찰서,7671 
경기,경기파주경찰서,11691 
경기,경기김포경찰서,8160 
경기,경기과천경찰서,1937 
경기,경기의왕경찰서,3226 
경기,경기양주경찰서,5754 
경기,경기동두천경찰서,3225 
경기,경기구리경찰서,7343 
경기,경기하남경찰서,4322 
경기,경기이천경찰서,6824 
경기,경기포천경찰서,6124 
경기,경기안성경찰서,6315 
경기,경기여주경찰서,3458 
경기,경기양평경찰서,3393 
경기,경기가평경찰서,2430 
경기,경기연천경찰서,1477 
강원,강원춘천경찰서,9756 
강원,강원강릉경찰서,7908 
강원,강원원주경찰서,14006 
강원,강원동해경찰서,2954 
강원,강원태백경찰서,1672 
강원,강원속초경찰서,4540 
강원,강원삼척경찰서,2160 
강원,강원영월경찰서,956 
강원,강원정선경찰서,1849 
강원,강원홍천경찰서,2473 
강원,강원평창경찰서,1517 
강원,강원횡성경찰서,1514 
강원,강원고성경찰서,781 
강원,강원인제경찰서,795 
강원,강원철원경찰서,1114 
강원,강원화천경찰서,547 
강원,강원양구경찰서,519 
충북,충북지방경찰청,4 
충북,충북청주흥덕경찰서,13907 
충북,충북청주상당경찰서,3830 
충북,충북청주청원경찰서,8351 
