지방청,관서,발생건수(2017년)
서울,서울중부경찰서,6858 
서울,서울종로경찰서,6128 
서울,서울남대문경찰서,5337 
서울,서울서대문경찰서,9004 
서울,서울혜화경찰서,5613 
서울,서울용산경찰서,10914 
서울,서울성북경찰서,5322 
서울,서울동대문경찰서,11316 
서울,서울마포경찰서,15228 
서울,서울영등포경찰서,18498 
서울,서울성동경찰서,8754 
서울,서울동작경찰서,8952 
서울,서울광진경찰서,12005 
서울,서울서부경찰서,3831 
서울,서울강북경찰서,8980 
서울,서울금천경찰서,10215 
서울,서울중랑경찰서,11323 
서울,서울강남경찰서,18789 
서울,서울관악경찰서,15353 
서울,서울강서경찰서,15611 
서울,서울강동경찰서,10978 
서울,서울종암경찰서,4651 
서울,서울구로경찰서,13223 
서울,서울서초경찰서,14505 
서울,서울양천경찰서,10392 
서울,서울송파경찰서,18407 
서울,서울노원경찰서,11558 
서울,서울방배경찰서,4051 
서울,서울은평경찰서,6423 
서울,서울도봉경찰서,6488 
서울,서울수서경찰서,11486 
부산,부산중부경찰서,4863 
부산,부산동래경찰서,8445 
부산,부산영도경찰서,3747 
부산,부산동부경찰서,5348 
부산,부산진경찰서,16638 
부산,부산서부경찰서,4103 
부산,부산남부경찰서,12720 
부산,부산해운대경찰서,12169 
부산,부산사상경찰서,8641 
부산,부산금정경찰서,6743 
부산,부산사하경찰서,9114 
부산,부산연제경찰서,8471 
부산,부산강서경찰서,4212 
부산,부산북부경찰서,6904 
부산,부산기장경찰서,4331 
대구,대구중부경찰서,6134 
대구,대구동부경찰서,10743 
대구,대구서부경찰서,7236 
대구,대구남부경찰서,5805 
대구,대구북부경찰서,6814 
대구,대구수성경찰서,10514 
대구,대구달서경찰서,7910 
대구,대구성서경찰서,8973 
대구,대구달성경찰서,4770 
대구,대구강북경찰서,6117 
인천,인천중부경찰서,7938 
인천,인천미추홀경찰서,16504 
인천,인천남동경찰서,14783 
인천,인천부평경찰서,8945 
인천,인천삼산경찰서,8967 
인천,인천서부경찰서,15245 
인천,인천계양경찰서,8192 
인천,인천연수경찰서,7770 
인천,인천강화경찰서,1850 
인천,인천논현경찰서,1191 
광주,광주동부경찰서,5332 
광주,광주서부경찰서,12233 
광주,광주남부경찰서,5182 
광주,광주북부경찰서,13437 
광주,광주광산경찰서,12029 
대전,대전중부경찰서,8990 
대전,대전동부경찰서,8064 
대전,대전서부경찰서,6669 
대전,대전대덕경찰서,5902 
대전,대전둔산경찰서,8863 
대전,대전유성경찰서,8500 
울산,울산중부경찰서,9678 
울산,울산남부경찰서,12708 
울산,울산동부경찰서,5722 
울산,울산울주경찰서,6804 
경기남부,경기수원중부경찰서,14464 
경기남부,경기수원남부경찰서,20222 
경기남부,경기수원서부경찰서,11409 
경기남부,경기안양동안경찰서,8992 
경기남부,경기안양만안경찰서,8311 
경기남부,경기군포경찰서,7016 
경기남부,경기성남수정경찰서,8905 
경기남부,경기성남중원경찰서,8092 
경기남부,경기분당경찰서,12701 
경기남부,경기부천소사경찰서,5721 
경기남부,경기부천원미경찰서,19554 
경기남부,경기부천오정경찰서,5989 
경기남부,경기광명경찰서,9018 
경기남부,경기안산단원경찰서,16747 
경기남부,경기안산상록경찰서,12166 
경기남부,경기시흥경찰서,18737 
경기남부,경기평택경찰서,22626 
경기남부,경기화성동부경찰서,16359 
경기남부,경기화성서부경찰서,11392 
경기남부,경기용인동부경찰서,14856 
경기남부,경기용인서부경찰서,7768 
경기남부,경기광주경찰서,10347 
경기남부,경기김포경찰서,10473 
경기남부,경기과천경찰서,1773 
경기남부,경기의왕경찰서,3135 
경기남부,경기하남경찰서,5385 
경기남부,경기이천경찰서,7971 
경기남부,경기안성경찰서,7380 
경기남부,경기여주경찰서,4404 
경기남부,경기양평경찰서,3474 
경기북부,경기의정부경찰서,14254 
경기북부,경기고양경찰서,11651 
경기북부,경기일산동부경찰서,10527 
경기북부,경기일산서부경찰서,6348 
경기북부,경기남양주경찰서,16895 
경기북부,경기파주경찰서,13754 
경기북부,경기양주경찰서,6517 
경기북부,경기동두천경찰서,3245 
경기북부,경기구리경찰서,7020 
경기북부,경기포천경찰서,6894 
경기북부,경기가평경찰서,3283 
경기북부,경기연천경찰서,1291 
강원,강원춘천경찰서,9632 
강원,강원강릉경찰서,6878 
강원,강원원주경찰서,13584 
강원,강원동해경찰서,2871 
강원,강원태백경찰서,1233 
강원,강원속초경찰서,4750 
강원,강원삼척경찰서,2601 
강원,강원영월경찰서,928 
강원,강원정선경찰서,1535 
강원,강원홍천경찰서,2682 
강원,강원평창경찰서,1449 
강원,강원횡성경찰서,1394 
강원,강원고성경찰서,962 
강원,강원인제경찰서,764 
강원,강원철원경찰서,892 
강원,강원화천경찰서,550 
강원,강원양구경찰서,466 
충북,충북청주흥덕경찰서,11546 
충북,충북청주상당경찰서,7409 
충북,충북청주청원경찰서,8943 
충북,충북충주경찰서,6458 
충북,충북제천경찰서,4076 
충북,충북영동경찰서,1045 
충북,충북괴산경찰서,1856 
충북,충북단양경찰서,694 
충북,충북보은경찰서,787 
충북,충북옥천경찰서,1065 
충북,충북음성경찰서,3996 
충북,충북진천경찰서,2512 
충남,충남천안서북경찰서,13949 
충남,충남천안동남경찰서,8433 
충남,충남서산경찰서,6904 
충남,충남논산경찰서,4222 
충남,충남아산경찰서,8627 
충남,충남공주경찰서,3139 
충남,충남보령경찰서,3322 
충남,충남당진경찰서,4843 
충남,충남세종경찰서,4893 
충남,충남홍성경찰서,2545 
충남,충남예산경찰서,1862 
충남,충남부여경찰서,1441 
충남,충남서천경찰서,1298 
충남,충남금산경찰서,1134 
충남,충남청양경찰서,594 
충남,충남태안경찰서,70 
전북,전북전주완산경찰서,9438 
전북,전북전주덕진경찰서,8069 
전북,전북군산경찰서,8730 
전북,전북익산경찰서,8157 
전북,전북정읍경찰서,2844 
전북,전북남원경찰서,2294 
전북,전북김제경찰서,2307 
전북,전북완주경찰서,1810 
전북,전북고창경찰서,1458 
전북,전북부안경찰서,1431 
전북,전북임실경찰서,510 
전북,전북순창경찰서,478 
전북,전북진안경찰서,380 
전북,전북장수경찰서,423 
전북,전북무주경찰서,650 
