관서,검거건수
중구,5008
종로구,4267
중구,3523
서대문구,7226
종로구,4228
용산구,8120
성북구,4423
동대문구,9679
마포구,11268
영등포구,13663
성동구,6890
동작구,6882
광진구,9282
은평구,3726
강북구,7882
금천구,7649
중랑구,9201
강남구,12957
관악구,11967
강서구,12555
강동구,8944
성북구,4077
구로구,9399
서초구,9631
양천구,8205
송파구,14030
노원구,9620
서초구,3340
은평구,5494
도봉구,5744
강남구,8244
