관서,검거건수
중구,6946
종로구,4626
중구,3904
서대문구,7448
종로구,5045
용산구,7338
성북구,5346
동대문구,10354
마포구,10437
영등포구,13362
성동구,7477
동작구,7575
광진구,9409
은평구,4748
강북구,8589
금천구,8161
중랑구,12698
강남구,14581
관악구,11140
강서구,13055
강동구,10908
성북구,4157
구로구,11940
서초구,10016
양천구,10340
송파구,14935
노원구,10166
서초구,3680
은평구,5982
도봉구,6127
강남구,8862
