관서,검거건수
중구,4244
종로구,4131
중구,3480
서대문구,6879
종로구,3531
용산구,7420
성북구,4168
동대문구,8687
마포구,10878
영등포구,12642
성동구,6290
동작구,6769
광진구,8364
은평구,3234
강북구,7669
금천구,7597
중랑구,8868
강남구,12812
관악구,11188
강서구,11287
강동구,8281
성북구,3434
구로구,9241
서초구,9733
양천구,7836
송파구,14218
노원구,8693
서초구,3397
은평구,5277
도봉구,5395
강남구,8219
