관서,검거건수
중구,5280
종로구,4562
중구,4022
서대문구,8198
종로구,5560
용산구,8128
성북구,5126
동대문구,9372
마포구,10518
영등포구,13305
성동구,6972
동작구,7506
광진구,10147
은평구,4215
강북구,8290
금천구,8075
중랑구,9491
강남구,14147
관악구,10667
강서구,11194
강동구,9861
성북구,4427
구로구,9580
서초구,9698
양천구,8911
송파구,14431
노원구,9426
서초구,3335
은평구,5608
도봉구,5819
강남구,8330
