관서,검거건수
중구,8145
종로구,4808
중구,4366
서대문구,8560
종로구,5481
용산구,7257
성북구,5933
동대문구,10838
마포구,11028
영등포구,14613
성동구,7899
동작구,9835
광진구,10954
은평구,4625
강북구,8929
금천구,8243
중랑구,12937
강남구,14243
관악구,11601
강서구,13300
강동구,11193
성북구,4507
구로구,10402
서초구,10404
양천구,9543
송파구,15974
노원구,10641
서초구,4616
은평구,6351
도봉구,6759
강남구,9449
