관서,검거건수
중구,5336
종로구,4162
중구,3727
서대문구,7677
종로구,4499
용산구,7520
성북구,5293
동대문구,10030
마포구,9973
영등포구,13575
성동구,7050
동작구,7167
광진구,10263
은평구,4334
강북구,8746
금천구,8059
중랑구,10578
강남구,13444
관악구,10692
강서구,12374
강동구,10814
성북구,4180
구로구,10023
서초구,9352
양천구,9362
송파구,14201
노원구,9598
서초구,3611
은평구,5867
도봉구,6706
강남구,8551
