관서,검거건수
중구,5417
종로구,4372
중구,3956
서대문구,7665
종로구,4437
용산구,8362
성북구,5063
동대문구,10156
마포구,11006
영등포구,14290
성동구,7105
동작구,7556
광진구,10060
은평구,3847
강북구,8689
금천구,7722
중랑구,9717
강남구,14407
관악구,11152
강서구,12821
강동구,9469
성북구,3881
구로구,10569
서초구,10874
양천구,9059
송파구,14777
노원구,9409
서초구,3547
은평구,5234
도봉구,5899
강남구,9201
