관서,검거건수
중구,5561
종로구,4311
중구,3689
서대문구,7649
종로구,4601
용산구,8304
성북구,5449
동대문구,9769
마포구,10279
영등포구,14029
성동구,7285
동작구,7879
광진구,10304
은평구,4230
강북구,8679
금천구,8327
중랑구,10181
강남구,13365
관악구,11234
강서구,12562
강동구,10477
성북구,4231
구로구,10661
서초구,9509
양천구,9654
송파구,13438
노원구,9816
서초구,3594
은평구,6343
도봉구,6476
강남구,8968
