관서,검거건수
중구,5387
종로구,4435
중구,3950
서대문구,7410
종로구,4932
용산구,8811
성북구,5043
동대문구,10284
마포구,11287
영등포구,13755
성동구,7164
동작구,7266
광진구,9584
은평구,3792
강북구,8664
금천구,7943
중랑구,10743
강남구,14891
관악구,11883
강서구,13068
강동구,9576
성북구,3890
구로구,10369
서초구,10200
양천구,8481
송파구,14480
노원구,9211
서초구,3650
은평구,5375
도봉구,6023
강남구,9024
