관서,발생건수
강남구,33758
강동구,11912
강북구,10887
강서구,16513
관악구,14648
광진구,13069
구로구,13168
금천구,9694
노원구,12017
도봉구,7749
동대문구,13331
동작구,11999
마포구,13258
서대문구,10017
서초구,20895
성동구,8706
성북구,11978
송파구,19253
양천구,11852
영등포구,19118
용산구,9137
은평구,12051
종로구,12583
중구,16012
중랑구,14624
