관서,발생건수
강남구,33047
강동구,11821
강북구,10266
강서구,16160
관악구,15809
광진구,13080
구로구,14613
금천구,11600
노원구,11814
도봉구,7041
동대문구,12699
동작구,9296
마포구,15478
서대문구,9524
서초구,19990
성동구,8550
성북구,10834
송파구,18948
양천구,10900
영등포구,19311
용산구,11670
은평구,11100
종로구,13363
중구,6011
중랑구,12624
