관서,발생건수
강남구,30751
강동구,10436
강북구,9385
강서구,14670
관악구,14302
광진구,10768
구로구,12748
금천구,10184
노원구,11067
도봉구,6781
동대문구,10568
동작구,8870
마포구,14544
서대문구,8616
서초구,19524
성동구,8129
성북구,9080
송파구,18233
양천구,10023
영등포구,17517
용산구,10017
은평구,9883
종로구,10749
중구,11237
중랑구,10915
