관서,발생건수
강남구,30275
강동구,10978
강북구,8980
강서구,15611
관악구,15353
광진구,12005
구로구,13223
금천구,10215
노원구,11558
도봉구,6488
동대문구,11316
동작구,8952
마포구,15228
서대문구,9004
서초구,18556
성동구,8754
성북구,9973
송파구,18407
양천구,10392
영등포구,18498
용산구,10914
은평구,10254
종로구,11741
중구,5337
중랑구,11323
