관서,발생건수
강남구,34824
강동구,14013
강북구,11033
강서구,16784
관악구,17221
광진구,14723
구로구,15521
금천구,11998
노원구,13379
도봉구,8290
동대문구,13168
동작구,11315
마포구,14216
서대문구,10315
서초구,21260
성동구,9996
성북구,13027
송파구,18384
양천구,13670
영등포구,20317
용산구,11483
은평구,13924
종로구,12965
중구,14034
중랑구,12683
