관서,발생건수
강남구,34578
강동구,13094
강북구,11045
강서구,17720
관악구,15492
광진구,12956
구로구,15360
금천구,10508
노원구,12181
도봉구,7906
동대문구,13674
동작구,10317
마포구,13146
서대문구,9951
서초구,20318
성동구,9306
성북구,11626
송파구,20470
양천구,13457
영등포구,18486
용산구,10213
은평구,12748
종로구,13147
중구,15870
중랑구,15010
