관서,발생건수
강남구,22333
강동구,10477
강북구,8679
강서구,12562
관악구,11234
광진구,10304
구로구,10661
금천구,8327
노원구,9816
도봉구,6476
동대문구,9769
동작구,7879
마포구,10279
서대문구,7649
서초구,13103
성동구,7285
성북구,9680
송파구,13438
양천구,9654
영등포구,14029
용산구,8304
은평구,10573
종로구,8912
중구,9250
중랑구,10181
