관서,발생건수
강남구,21995
강동구,10814
강북구,8746
강서구,12374
관악구,10692
광진구,10263
구로구,10023
금천구,8059
노원구,9598
도봉구,6706
동대문구,10030
동작구,7167
마포구,9973
서대문구,7677
서초구,12963
성동구,7050
성북구,9473
송파구,14201
양천구,9362
영등포구,13575
용산구,7520
은평구,10201
종로구,8661
중구,9063
중랑구,10578
