관서,발생건수
강남구,23915
강동구,9576
강북구,8664
강서구,13068
관악구,11883
광진구,9584
구로구,10369
금천구,7943
노원구,9211
도봉구,6023
동대문구,10284
동작구,7266
마포구,11287
서대문구,7410
서초구,13850
성동구,7164
성북구,8933
송파구,14480
양천구,8481
영등포구,13755
용산구,8811
은평구,9167
종로구,9367
중구,9337
중랑구,10743
