관서,발생건수
강남구,21031
강동구,8281
강북구,7669
강서구,11287
관악구,11188
광진구,8364
구로구,9241
금천구,7597
노원구,8693
도봉구,5395
동대문구,8687
동작구,6769
마포구,10878
서대문구,6879
서초구,13130
성동구,6290
성북구,7602
송파구,14218
양천구,7836
영등포구,12642
용산구,7420
은평구,8511
종로구,7662
중구,7724
중랑구,8868
