관서,발생건수
강남구,22477
강동구,9861
강북구,8290
강서구,11194
관악구,10667
광진구,10147
구로구,9580
금천구,8075
노원구,9426
도봉구,5819
동대문구,9372
동작구,7506
마포구,10518
서대문구,8198
서초구,13033
성동구,6972
성북구,9553
송파구,14431
양천구,8911
영등포구,13305
용산구,8128
은평구,9823
종로구,10122
중구,9302
중랑구,9491
