위도,경도
37.548408,127.103
37.54094,127.10338
37.542268,127.101518
37.551333,127.109903
37.548804,127.108978
37.54584,127.10352
37.546682,127.103426
37.547348,127.107975
37.547929,127.108083
37.550643,127.101513
37.548655,127.101846
37.545239,127.097787
37.546368,127.065737
37.53932,127.08891
37.539075,127.088348
37.540892,127.08899
37.557595,127.093109
37.54296,127.089418
37.543861,127.090377
37.543461,127.089729
37.543525,127.088073
37.54361,127.088787
37.543276,127.087224
37.544234,127.086571
37.543686,127.085697
37.541692,127.088251
37.539867,127.08789
37.539007,127.087613
37.53906,127.08686
37.540675,127.086021
37.541249,127.0867
37.542093,127.085867
37.541775,127.084888
37.539968,127.084183
37.538127,127.084979
37.538358,127.084376
37.539075,127.084312
37.544119,127.084083
37.538428,127.08649
37.539621,127.085686
37.538493,127.085774
37.539066,127.086142
37.544149,127.082497
37.551502,127.095589
37.549677,127.095009
37.551683,127.091378
37.545513,127.087302
37.547639,127.087255
37.553555,127.092883
37.55352,127.095613
37.554054,127.093344
37.553777,127.094616
37.553781,127.093427
37.554461,127.095938
37.553193,127.096174
37.552987,127.093989
37.551232,127.096545
37.550746,127.095962
37.55152,127.094692
37.550588,127.093687
37.552825,127.091883
37.551133,127.091075
37.555424,127.094291
37.555159,127.09508
37.550057,127.092195
37.549651,127.093211
37.547874,127.091577
37.548416,127.086168
37.548264,127.08698
37.54773,127.08641
37.547147,127.088538
37.54638,127.08829
37.546223,127.087537
37.549389,127.089198
37.543741,127.091542
37.543317,127.092519
37.542261,127.093576
37.541183,127.094642
37.540911,127.094152
37.540633,127.092253
37.541469,127.091049
37.541193,127.092178
37.540371,127.091684
37.540973,127.092812
37.540391,127.093268
37.538262,127.092366
37.539239,127.091523
37.539507,127.090145
37.540744,127.090144
37.542859,127.090315
37.539352,127.090721
37.535299,127.090631
37.557083,127.075029
37.556633,127.076083
37.556035,127.076568
37.554617,127.076535
37.554074,127.075801
37.552926,127.075868
37.555238,127.07252
37.553879,127.071027
37.554008,127.073708
37.555643,127.077931
37.55374,127.076826
37.552356,127.074973
37.55037,127.070538
37.555245,127.097679
37.55826,127.074661
37.556631,127.077218
37.556791,127.078139
37.55221,127.081751
37.553135,127.080577
37.555722,127.079472
37.556137,127.0798
37.555722,127.080889
37.554988,127.081176
37.554035,127.083615
37.552977,127.082391
37.5527,127.08292
37.553119,127.084653
37.554018,127.085203
37.552083,127.084782
37.553077,127.086365
37.552968,127.088017
37.552039,127.087326
37.553545,127.078419
37.55232,127.079116
37.552612,127.078568
37.554561,127.07918
37.553818,127.079217
37.534298,127.08196
37.53944,127.08133
37.535984,127.080844
37.536335,127.081774
37.535985,127.083127
37.534375,127.079494
37.534774,127.078732
37.532539,127.079796
37.533619,127.080083
37.533148,127.078125
37.533894,127.080393
37.533804,127.082935
37.533411,127.080997
37.533359,127.082199
37.53355,127.082779
37.532278,127.080604
37.532288,127.082366
37.539785,127.082289
37.538362,127.080998
37.538092,127.080444
37.528621,127.081102
37.530685,127.086474
37.531521,127.08507
37.564219,127.08497
37.529594,127.076855
37.531123,127.077889
37.531525,127.079307
37.530556,127.080454
37.529623,127.080026
37.527926,127.080287
37.529123,127.083969
37.529818,127.084582
37.528597,127.085148
37.536251,127.084738
37.532503,127.086532
37.531288,127.086819
37.531445,127.088177
37.530327,127.087921
37.537446,127.076635
37.537284,127.075075
37.538406,127.074989
37.536949,127.074358
37.536529,127.076201
37.536136,127.075801
37.53569,127.07541
37.531441,127.073506
37.538092,127.075328
37.531144,127.072737
37.531966,127.070949
37.536016,127.070812
37.532114,127.070109
37.533576,127.071423
37.532636,127.07449
37.531783,127.074462
37.530754,127.073402
37.530058,127.073376
37.53754,127.06391
37.536457,127.065149
37.534262,127.065654
37.535222,127.063347
37.532652,127.063711
37.534701,127.064948
37.533247,127.065648
37.539018,127.068065
37.538888,127.066878
37.539289,127.065252
37.540835,127.066082
37.540578,127.06409
37.534182,127.061066
37.535336,127.062677
37.53582,127.062817
37.535679,127.061242
37.537872,127.062907
37.538789,127.062652
37.537709,127.067939
37.534638,127.067159
37.536513,127.067452
37.535302,127.066429
37.534026,127.063881
37.53944,127.06329
37.53825,127.063432
37.538993,127.064588
37.538193,127.064387
37.538547,127.065316
37.537863,127.065411
37.532235,127.083613
37.561093,127.080972
37.564833,127.079196
37.564608,127.077491
37.563969,127.079372
37.56446,127.07801
37.562144,127.081392
37.562124,127.080726
37.561658,127.079773
37.561918,127.079007
37.563128,127.078329
37.5627,127.07711
37.56423,127.076266
37.561759,127.075841
37.559739,127.074677
37.56095,127.07764
37.55968,127.07691
37.55945,127.07627
37.5588,127.07713
37.560047,127.079637
37.559824,127.08027
37.558773,127.078909
37.558298,127.078661
37.564183,127.081131
37.563537,127.080784
37.563339,127.08138
37.563913,127.084041
37.563315,127.085931
37.56211,127.08624
37.561459,127.084759
37.556157,127.087347
37.555307,127.087265
37.554951,127.087431
37.556742,127.086391
37.559107,127.086874
37.55883,127.08558
37.556076,127.086095
37.55634,127.08355
37.561364,127.086262
37.561063,127.087051
37.55753,127.08097
37.559223,127.082083
37.562689,127.083279
37.562781,127.084977
37.562024,127.08505
37.56079,127.08241
37.561264,127.083241
37.56001,127.086814
37.568442,127.080078
37.565782,127.083923
37.568993,127.084301
37.56717,127.08345
37.567117,127.082476
37.56974,127.08129
37.5676,127.07938
37.554415,127.094584
37.570138,127.085134
37.56932,127.08522
37.569452,127.083826
37.56734,127.08581
37.56711,127.08552
37.571021,127.08393
37.571446,127.081569
37.570476,127.082706
37.569123,127.080592
37.56816,127.08062
37.567954,127.081331
37.557287,127.092162
37.55498,127.08979
37.563039,127.087694
37.5578,127.09292
37.557413,127.093476
37.545714,127.072161
37.555427,127.093379
37.556664,127.094671
37.556721,127.092139
37.55563,127.092352
37.560844,127.088772
37.56181,127.08942
37.569375,127.088665
37.559586,127.088293
37.570427,127.088337
37.57016,127.08706
37.558506,127.095202
37.560102,127.095572
37.55587,127.09053
37.554018,127.090432
37.554339,127.089489
37.544139,127.065338
37.54619,127.067924
37.545011,127.06751
37.542751,127.067125
37.543076,127.068117
37.54209,127.06582
37.540589,127.070459
37.542837,127.069176
37.543658,127.070658
37.54558,127.06957
37.548659,127.087079
37.545387,127.06865
37.546196,127.068826
37.54337,127.067571
37.541407,127.068385
37.545621,127.076109
37.546203,127.075255
37.545129,127.075394
37.545343,127.077269
37.541594,127.069546
37.563773,127.078716
37.559716,127.081672
37.570927,127.082252
37.55642,127.08971
37.552123,127.07769
37.539745,127.086396
37.552202,127.091916
37.539816,127.092324
37.548169,127.105679
37.53435,127.07799
37.530368,127.085115
37.532483,127.072689
37.534083,127.062672
37.54641,127.070288
37.556282,127.078209
37.543482,127.086492
37.555435,127.086602
37.5378,127.075145
