기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20181201,0,11545 ,208143 ,5949 ,2875 ,3994 ,6356 ,9443 ,10044 ,10335 ,8913 ,9003 ,8023 ,8430 ,6963 ,4987 ,8968 ,5814 ,2964 ,3881 ,6273 ,8477 ,8525 ,8425 ,7478 ,7997 ,7683 ,9025 ,8151 ,6103 ,13063 
20181201,0,11560 ,428442 ,12898 ,5789 ,8342 ,12230 ,18489 ,20843 ,21679 ,18468 ,18932 ,15794 ,15580 ,13238 ,9355 ,18958 ,13058 ,5435 ,7728 ,14391 ,20205 ,20501 ,18940 ,15750 ,15416 ,14862 ,16500 ,14680 ,11039 ,29342 
20181201,0,11590 ,437037 ,13875 ,6507 ,10475 ,20312 ,22890 ,18463 ,17515 ,15737 ,15462 ,12791 ,13198 ,11898 ,8913 ,20270 ,14431 ,6562 ,10231 ,21454 ,20225 ,17741 ,17305 ,15236 ,15026 ,14258 ,16943 ,15269 ,12159 ,31891 
20181201,0,11620 ,550356 ,13681 ,6656 ,11758 ,25765 ,38387 ,30528 ,24907 ,20671 ,19888 ,15170 ,15560 ,13182 ,11126 ,22536 ,13613 ,6555 ,11691 ,29620 ,34584 ,25752 ,21470 ,17687 ,17612 ,16412 ,19357 ,17369 ,14777 ,34042 
20181201,0,11650 ,520445 ,17089 ,9614 ,12879 ,15991 ,19502 ,20330 ,23407 ,23163 ,25142 ,18555 ,16515 ,14134 ,11075 ,22429 ,18235 ,10336 ,13892 ,17432 ,20745 ,21076 ,23787 ,22424 ,22578 ,17085 ,17740 ,17373 ,13950 ,33968 
20181201,0,11680 ,693432 ,20206 ,13048 ,19646 ,20862 ,28432 ,30759 ,34753 ,32637 ,34212 ,24689 ,20672 ,17038 ,13483 ,27616 ,20115 ,12739 ,18924 ,24914 ,32139 ,31694 ,32045 ,29571 ,30194 ,21831 ,21855 ,21156 ,17260 ,40941 
20181201,0,11710 ,755490 ,28643 ,14720 ,20399 ,21414 ,25529 ,29365 ,33766 ,30624 ,30722 ,26050 ,26166 ,22552 ,17333 ,29721 ,28729 ,14930 ,18941 ,22307 ,29335 ,32724 ,35018 ,29807 ,31387 ,28030 ,31224 ,28639 ,20729 ,46687 
20181201,0,11740 ,513026 ,20812 ,11051 ,14830 ,14105 ,16332 ,17028 ,20844 ,19267 ,20948 ,17952 ,19450 ,16495 ,12436 ,22842 ,18565 ,9658 ,12742 ,14911 ,17100 ,18451 ,21457 ,19885 ,21781 ,19934 ,23299 ,20971 ,15458 ,34421 
20181201,1,11110 ,235456 ,4908 ,2930 ,5739 ,11293 ,11283 ,9077 ,9238 ,8739 ,10402 ,8541 ,8918 ,7166 ,4869 ,11523 ,4829 ,2898 ,6277 ,12049 ,9871 ,8255 ,8671 ,8107 ,10089 ,8440 ,8819 ,8029 ,6113 ,18382 
20181201,1,11140 ,197338 ,3974 ,1653 ,3273 ,8381 ,9372 ,10414 ,11076 ,8733 ,9023 ,7282 ,7201 ,5791 ,4076 ,7664 ,4000 ,1687 ,3349 ,8838 ,9597 ,9768 ,9258 ,7525 ,7638 ,6478 ,7319 ,6464 ,4649 ,12855 
20181201,1,11170 ,274213 ,6673 ,3341 ,5586 ,9883 ,13216 ,13879 ,13891 ,11505 ,11653 ,8905 ,8819 ,6901 ,5162 ,11536 ,7410 ,3619 ,5818 ,11836 ,14648 ,13510 ,12742 ,10968 ,10482 ,8310 ,9198 ,8548 ,6492 ,19680 
20181201,1,11200 ,338866 ,11911 ,5245 ,7542 ,13292 ,14608 ,13776 ,15515 ,13414 ,13728 ,11409 ,11983 ,9588 ,6853 ,13586 ,11183 ,5014 ,7463 ,14164 ,14427 ,15174 ,15280 ,12335 ,12999 ,11430 ,13054 ,11804 ,8697 ,23393 
20181201,1,11215 ,402908 ,12236 ,6621 ,11039 ,18524 ,19253 ,16949 ,16141 ,14359 ,15648 ,13449 ,13925 ,10711 ,7258 ,15322 ,11527 ,6412 ,10751 ,20979 ,19700 ,17689 ,16780 ,14878 ,15679 ,14742 ,15522 ,13456 ,9436 ,23922 
20181201,1,11230 ,376721 ,11540 ,5775 ,9322 ,19137 ,16899 ,13400 ,14487 ,14039 ,14063 ,12025 ,12711 ,11053 ,8167 ,18414 ,10332 ,5111 ,10498 ,22411 ,15118 ,13345 ,14111 ,12310 ,13461 ,12296 ,14087 ,12863 ,9701 ,30047 
20181201,1,11260 ,396635 ,13821 ,6718 ,9478 ,12946 ,13427 ,14115 ,16680 ,14114 ,15489 ,14356 ,15419 ,12574 ,9504 ,18810 ,13148 ,6300 ,9056 ,12839 ,14531 ,14812 ,15806 ,13488 ,15989 ,16138 ,18655 ,15457 ,11695 ,31269 
20181201,1,11290 ,461773 ,17442 ,9831 ,13090 ,19461 ,17315 ,13637 ,16262 ,16485 ,18719 ,14309 ,15128 ,12945 ,9703 ,20946 ,15905 ,8763 ,14223 ,24456 ,16548 ,15213 ,17389 ,17224 ,18504 ,16035 ,17529 ,15855 ,12227 ,36629 
20181201,1,11305 ,334532 ,10714 ,5884 ,8330 ,11181 ,11159 ,10552 ,12066 ,12194 ,13015 ,11186 ,11789 ,10096 ,7960 ,18755 ,9751 ,5335 ,8173 ,13517 ,11583 ,10295 ,11562 ,11943 ,13840 ,12953 ,14771 ,12810 ,11283 ,31831 
20181201,1,11320 ,317382 ,11510 ,6399 ,8149 ,9181 ,9375 ,9574 ,11114 ,10972 ,12230 ,11048 ,12235 ,10782 ,7896 ,16879 ,10410 ,5863 ,7919 ,10359 ,10022 ,10270 ,11679 ,11093 ,13786 ,12638 ,14769 ,13657 ,9657 ,27915 
20181201,1,11350 ,561778 ,19913 ,13248 ,20079 ,22453 ,17711 ,15365 ,18281 ,19248 ,23097 ,19836 ,19826 ,16726 ,12322 ,23858 ,19364 ,12675 ,18538 ,22045 ,17203 ,16911 ,20206 ,21526 ,25989 ,22043 ,23888 ,20728 ,15134 ,43562 
20181201,1,11380 ,490791 ,18446 ,10265 ,13726 ,13641 ,15228 ,15647 ,19771 ,18453 ,19639 ,16526 ,16848 ,14166 ,10583 ,24058 ,16528 ,9019 ,13240 ,15515 ,17175 ,17513 ,20086 ,19314 ,21395 ,18376 ,21212 ,18744 ,14761 ,40913 
20181201,1,11410 ,377457 ,11746 ,5926 ,9371 ,16519 ,16297 ,12694 ,14109 ,13785 ,14822 ,11931 ,12184 ,9856 ,7083 ,17112 ,11419 ,5918 ,11051 ,24367 ,17526 ,14460 ,14436 ,13702 ,14507 ,12895 ,14109 ,12157 ,9433 ,28043 
20181201,1,11440 ,461485 ,13481 ,6707 ,11482 ,20645 ,22743 ,20197 ,21741 ,18987 ,18627 ,13322 ,13286 ,10273 ,7237 ,16486 ,13555 ,6737 ,12264 ,27455 ,25857 ,22840 ,21663 ,18885 ,17695 ,14164 ,14947 ,12519 ,9491 ,28202 
20181201,1,11470 ,424654 ,16989 ,11837 ,14465 ,12011 ,11747 ,12854 ,15594 ,16683 ,19432 ,16245 ,15271 ,12417 ,9540 ,16858 ,15796 ,10780 ,13231 ,12336 ,13445 ,13969 ,16721 ,18252 ,20295 ,16931 ,17021 ,15004 ,11672 ,27259 
