자치구,인구수
구로구,420712 
금천구,213295 
영등포구,515074 
동작구,404231 
관악구,476623 
서초구,649600 
강남구,867703 
송파구,796716 
강동구,459807 
종로구,396531 
중구,345183 
용산구,338242 
성동구,351567 
광진구,404683 
동대문구,378169 
중랑구,350479 
성북구,418536 
강북구,288561 
도봉구,282380 
노원구,513751 
은평구,424025 
서대문구,376797 
마포구,522324 
양천구,389005 
강서구,526768 
구로구,427110 
금천구,214890 
영등포구,517799 
동작구,403256 
관악구,477955 
서초구,646314 
강남구,852250 
송파구,800211 
강동구,461855 
종로구,380673 
중구,322765 
용산구,337057 
성동구,350423 
광진구,412895 
동대문구,375353 
중랑구,357284 
성북구,420529 
강북구,293533 
도봉구,284361 
노원구,515054 
은평구,429750 
서대문구,377731 
마포구,531061 
양천구,390084 
강서구,526915 
구로구,435919 
금천구,212950 
영등포구,510174 
동작구,407177 
관악구,484344 
서초구,643134 
강남구,833061 
송파구,799995 
강동구,466440 
종로구,354972 
중구,300088 
용산구,330196 
성동구,345730 
광진구,418252 
동대문구,368680 
중랑구,363850 
성북구,425967 
강북구,300064 
도봉구,287809 
노원구,521665 
은평구,438847 
서대문구,379077 
마포구,534960 
양천구,395350 
강서구,531653 
구로구,435497 
금천구,210245 
영등포구,496894 
동작구,409390 
관악구,492937 
서초구,630156 
강남구,809188 
송파구,801877 
강동구,472346 
종로구,332390 
중구,276524 
용산구,324666 
성동구,340926 
광진구,418368 
동대문구,368044 
중랑구,368932 
성북구,432357 
강북구,308232 
도봉구,291998 
노원구,530999 
은평구,446148 
서대문구,380201 
마포구,531872 
양천구,401498 
강서구,536682 
구로구,434003 
금천구,209985 
영등포구,484348 
동작구,413809 
관악구,502790 
서초구,607876 
강남구,778578 
송파구,795708 
강동구,478906 
종로구,308163 
중구,249743 
용산구,318076 
성동구,342988 
광진구,419069 
동대문구,369126 
중랑구,374750 
성북구,438530 
강북구,315976 
도봉구,298162 
노원구,536724 
은평구,455815 
서대문구,381097 
마포구,524915 
양천구,406563 
강서구,541638 
구로구,438446 
금천구,210054 
영등포구,472534 
동작구,418603 
관악구,511888 
서초구,587037 
강남구,745821 
송파구,788180 
강동구,483755 
종로구,282843 
중구,222730 
용산구,312446 
성동구,344628 
광진구,419319 
동대문구,371232 
중랑구,379445 
성북구,443541 
강북구,321670 
도봉구,304184 
노원구,543229 
은평구,465277 
서대문구,379554 
마포구,515520 
양천구,412499 
강서구,548735 
구로구,440810 
금천구,208266 
영등포구,459910 
동작구,423262 
관악구,522680 
서초구,566710 
강남구,719056 
송파구,773783 
강동구,490001 
종로구,258190 
중구,200309 
용산구,299292 
성동구,343245 
광진구,417709 
동대문구,375188 
중랑구,384395 
성북구,450101 
강북구,328102 
도봉구,309983 
노원구,550238 
은평구,474679 
서대문구,376371 
마포구,496644 
양천구,416786 
강서구,558327 
구로구,442075 
금천구,208759 
영등포구,447914 
동작구,427522 
관악구,534803 
서초구,544262 
강남구,681410 
송파구,758104 
강동구,498000 
종로구,238346 
중구,179468 
용산구,284645 
성동구,336932 
광진구,407124 
동대문구,374835 
중랑구,392480 
성북구,457060 
강북구,336050 
도봉구,313449 
노원구,558339 
은평구,486864 
서대문구,373681 
마포구,472458 
양천구,419722 
강서구,570823 
구로구,420965 
금천구,207820 
영등포구,427787 
동작구,435165 
관악구,545416 
서초구,510876 
강남구,657250 
송파구,741518 
강동구,508437 
종로구,233533 
중구,173173 
용산구,280613 
성동구,333590 
광진구,403328 
동대문구,375211 
중랑구,394870 
성북구,461435 
강북구,337449 
도봉구,316242 
노원구,560270 
은평구,489761 
서대문구,373328 
마포구,465692 
양천구,422914 
강서구,572728 
구로구,405963 
금천구,207924 
영등포구,418600 
동작구,431344 
관악구,548204 
서초구,503369 
강남구,650539 
송파구,742000 
강동구,509362 
종로구,229489 
중구,169820 
용산구,278202 
성동구,334750 
광진구,401828 
동대문구,375474 
중랑구,396694 
성북구,461735 
강북구,338111 
도봉구,318036 
노원구,560995 
은평구,491596 
서대문구,373001 
마포구,460810 
양천구,423941 
강서구,574253 
구로구,404217 
금천구,208376 
영등포구,415972 
동작구,432755 
관악구,549812 
서초구,499317 
강남구,644482 
송파구,740619 
강동구,509952 
종로구,226806 
중구,168117 
용산구,276530 
성동구,335111 
광진구,401037 
동대문구,376071 
중랑구,397609 
성북구,462474 
강북구,338094 
도봉구,319575 
노원구,561599 
은평구,492988 
서대문구,372639 
마포구,456581 
양천구,424605 
강서구,576011 
구로구,404034 
금천구,209158 
영등포구,414422 
동작구,433644 
관악구,550275 
서초구,496127 
강남구,640032 
송파구,740244 
강동구,510488 
종로구,225282 
중구,166708 
용산구,273922 
성동구,335268 
광진구,400552 
동대문구,376870 
중랑구,398193 
성북구,463092 
강북구,338124 
도봉구,320695 
노원구,561882 
은평구,493838 
서대문구,372795 
마포구,451919 
양천구,425815 
강서구,576949 
구로구,404400 
금천구,209444 
영등포구,413558 
동작구,434195 
관악구,551229 
서초구,494522 
강남구,636645 
송파구,740403 
강동구,510707 
종로구,223819 
중구,166403 
용산구,271508 
성동구,335627 
광진구,399985 
동대문구,377745 
중랑구,398480 
성북구,463963 
강북구,337515 
도봉구,321449 
노원구,561676 
은평구,493916 
서대문구,373647 
마포구,448469 
양천구,426120 
강서구,578215 
구로구,405064 
금천구,209193 
영등포구,413039 
동작구,434908 
관악구,550911 
서초구,494011 
강남구,634797 
송파구,740252 
강동구,510974 
종로구,223790 
중구,166233 
용산구,270145 
성동구,337183 
광진구,399660 
동대문구,378046 
중랑구,397610 
성북구,464026 
강북구,335799 
도봉구,321648 
노원구,560834 
은평구,492577 
서대문구,373597 
마포구,444830 
양천구,426242 
강서구,579487 
구로구,404409 
금천구,208049 
영등포구,414965 
동작구,434494 
관악구,549660 
서초구,497439 
강남구,634521 
송파구,740456 
강동구,510569 
종로구,226047 
중구,171077 
용산구,270293 
성동구,337168 
광진구,398096 
동대문구,379568 
중랑구,395346 
성북구,463335 
강북구,333705 
도봉구,320193 
노원구,558163 
은평구,490341 
서대문구,371974 
마포구,440098 
양천구,424180 
강서구,579167 
구로구,402753 
금천구,207534 
영등포구,419897 
동작구,433575 
관악구,545977 
서초구,501030 
강남구,638091 
송파구,740467 
강동구,509135 
종로구,229284 
중구,177250 
용산구,272187 
성동구,337119 
광진구,397255 
동대문구,380592 
중랑구,392697 
성북구,462155 
강북구,330822 
도봉구,319097 
노원구,555222 
은평구,486953 
서대문구,371204 
마포구,439100 
양천구,420458 
강서구,575842 
구로구,401478 
금천구,206391 
영등포구,428305 
동작구,430167 
관악구,541390 
서초구,506924 
강남구,644188 
송파구,741178 
강동구,507214 
종로구,237822 
중구,191250 
용산구,283826 
성동구,341555 
광진구,395841 
동대문구,381244 
중랑구,387974 
성북구,459152 
강북구,326227 
도봉구,318716 
노원구,550629 
은평구,482863 
서대문구,369948 
마포구,441947 
양천구,417969 
강서구,570157 
구로구,402582 
금천구,205516 
영등포구,437109 
동작구,428424 
관악구,536139 
서초구,521026 
강남구,662825 
송파구,744720 
강동구,502728 
종로구,252590 
중구,212756 
용산구,296424 
성동구,341652 
광진구,395585 
동대문구,380833 
중랑구,380530 
성북구,455101 
강북구,321080 
도봉구,316793 
노원구,547446 
은평구,474364 
서대문구,368947 
마포구,446079 
양천구,415311 
강서구,564825 
구로구,403363 
금천구,206990 
영등포구,453024 
동작구,423337 
관악구,528501 
서초구,546059 
강남구,688055 
송파구,748705 
강동구,499712 
종로구,272697 
중구,235028 
용산구,307192 
성동구,341476 
광진구,396471 
동대문구,382900 
중랑구,375526 
성북구,450163 
강북구,315424 
도봉구,314702 
노원구,539154 
은평구,464060 
서대문구,370792 
마포구,454725 
양천구,409829 
강서구,559004 
구로구,408883 
금천구,206772 
영등포구,470739 
동작구,416995 
관악구,521456 
서초구,564323 
강남구,714852 
송파구,755672 
강동구,497178 
종로구,295059 
중구,257566 
용산구,316739 
성동구,337739 
광진구,397302 
동대문구,383793 
중랑구,372424 
성북구,443681 
강북구,310206 
도봉구,310484 
노원구,533197 
은평구,455224 
서대문구,367784 
마포구,462131 
양천구,405058 
강서구,552423 
구로구,410346 
금천구,206313 
영등포구,485921 
동작구,407974 
관악구,512796 
서초구,579493 
강남구,740079 
송파구,763782 
강동구,490915 
종로구,316749 
중구,274957 
용산구,322400 
성동구,336075 
광진구,400061 
동대문구,385119 
중랑구,369652 
성북구,437990 
강북구,307714 
도봉구,305274 
노원구,530673 
은평구,447732 
서대문구,365749 
마포구,469708 
양천구,402121 
강서구,546750 
구로구,409290 
금천구,207510 
영등포구,494225 
동작구,404911 
관악구,506118 
서초구,589004 
강남구,757014 
송파구,773819 
강동구,485097 
종로구,334176 
중구,286744 
용산구,325825 
성동구,336367 
광진구,402809 
동대문구,387270 
중랑구,363346 
성북구,432563 
강북구,305066 
도봉구,302014 
노원구,529850 
은평구,441801 
서대문구,366066 
마포구,478488 
양천구,398734 
강서구,544286 
구로구,406435 
금천구,210194 
영등포구,497176 
동작구,400813 
관악구,500023 
서초구,597616 
강남구,764691 
송파구,784308 
강동구,479770 
종로구,343768 
중구,289368 
용산구,323840 
성동구,337878 
광진구,403295 
동대문구,388865 
중랑구,362922 
성북구,429270 
강북구,303074 
도봉구,301453 
노원구,528520 
은평구,440412 
서대문구,367262 
마포구,486543 
양천구,398050 
강서구,542549 
구로구,405321 
금천구,213083 
영등포구,497424 
동작구,398835 
관악구,495527 
서초구,599799 
강남구,764569 
송파구,795440 
강동구,478412 
종로구,339177 
중구,284544 
용산구,325270 
성동구,338870 
광진구,406570 
동대문구,387862 
중랑구,366950 
성북구,429413 
강북구,302575 
도봉구,300692 
노원구,531232 
은평구,443992 
서대문구,369882 
마포구,488543 
양천구,400719 
강서구,542629 
구로구,402842 
금천구,216063 
영등포구,496584 
동작구,398724 
관악구,493988 
서초구,600597 
강남구,758546 
송파구,803324 
강동구,478515 
종로구,330626 
중구,272837 
용산구,319204 
성동구,341934 
광진구,409911 
동대문구,384193 
중랑구,370759 
성북구,433155 
강북구,303999 
도봉구,301255 
노원구,537046 
은평구,448254 
서대문구,372557 
마포구,491824 
양천구,404298 
강서구,543384 
구로구,404295 
금천구,216365 
영등포구,494829 
동작구,401816 
관악구,498586 
서초구,593198 
강남구,747613 
송파구,810268 
강동구,479596 
종로구,312394 
중구,256556 
용산구,314717 
성동구,339083 
광진구,414659 
동대문구,381593 
중랑구,377105 
성북구,439465 
강북구,309240 
도봉구,304504 
노원구,539494 
은평구,454002 
서대문구,373833 
마포구,495838 
양천구,409660 
강서구,548774 
구로구,403265 
금천구,215588 
영등포구,484989 
동작구,406218 
관악구,505012 
서초구,587458 
강남구,738605 
송파구,812741 
강동구,485702 
종로구,293227 
중구,238184 
용산구,307048 
성동구,338542 
광진구,419434 
동대문구,378841 
중랑구,382622 
성북구,446664 
강북구,314016 
도봉구,306158 
노원구,548610 
은평구,462156 
서대문구,375724 
마포구,495406 
양천구,416827 
강서구,554763 
구로구,406738 
금천구,214549 
영등포구,472813 
동작구,411285 
관악구,514752 
서초구,578228 
강남구,720348 
송파구,812596 
강동구,492333 
종로구,277015 
중구,226824 
용산구,303563 
성동구,339549 
광진구,419922 
동대문구,377062 
중랑구,387331 
성북구,452708 
강북구,319431 
도봉구,310047 
노원구,552952 
은평구,468892 
서대문구,376912 
마포구,491261 
양천구,421755 
강서구,558310 
구로구,405643 
금천구,212348 
영등포구,464263 
동작구,418656 
관악구,523204 
서초구,564144 
강남구,704778 
송파구,807673 
강동구,498806 
종로구,259605 
중구,214377 
용산구,295870 
성동구,345089 
광진구,420252 
동대문구,377928 
중랑구,390593 
성북구,458100 
강북구,322555 
도봉구,313924 
노원구,558401 
은평구,476157 
서대문구,376919 
마포구,484667 
양천구,425655 
강서구,562600 
구로구,410220 
금천구,211929 
영등포구,453430 
동작구,424395 
관악구,532707 
서초구,555137 
강남구,690707 
송파구,796658 
강동구,503764 
종로구,245104 
중구,202387 
용산구,286593 
성동구,346413 
광진구,420090 
동대문구,379256 
중랑구,393739 
성북구,463981 
강북구,327214 
도봉구,317666 
노원구,563870 
은평구,483668 
서대문구,378080 
마포구,475752 
양천구,428457 
강서구,571279 
구로구,411624 
금천구,212165 
영등포구,445078 
동작구,430969 
관악구,542541 
서초구,540403 
강남구,672856 
송파구,777133 
강동구,508322 
종로구,233017 
중구,192145 
용산구,275500 
성동구,346618 
광진구,418177 
동대문구,381895 
중랑구,397914 
성북구,469675 
강북구,331617 
도봉구,321654 
노원구,567287 
은평구,489962 
서대문구,378109 
마포구,462663 
양천구,430374 
강서구,578054 
구로구,414848 
금천구,212209 
영등포구,437060 
동작구,437081 
관악구,550597 
서초구,524722 
강남구,650768 
송파구,767621 
강동구,512901 
종로구,226758 
중구,181641 
용산구,263862 
성동구,342534 
광진구,409129 
동대문구,381722 
중랑구,403963 
성북구,472178 
강북구,339141 
도봉구,323446 
노원구,569140 
은평구,498828 
서대문구,377386 
마포구,447910 
양천구,431300 
강서구,585609 
구로구,406841 
금천구,210317 
영등포구,419127 
동작구,445713 
관악구,563035 
서초구,498817 
강남구,643858 
송파구,760044 
강동구,520975 
종로구,224259 
중구,178907 
용산구,261733 
성동구,342170 
광진구,407226 
동대문구,381627 
중랑구,405188 
성북구,473973 
강북구,339891 
도봉구,324927 
노원구,570356 
은평구,500219 
서대문구,377997 
마포구,444200 
양천구,432189 
강서구,586558 
구로구,406097 
금천구,210975 
영등포구,416118 
동작구,445916 
관악구,564356 
서초구,496310 
강남구,638869 
송파구,760504 
강동구,521447 
종로구,222868 
중구,177689 
용산구,260347 
성동구,342839 
광진구,406214 
동대문구,382200 
중랑구,405754 
성북구,473464 
강북구,340707 
도봉구,325441 
노원구,570964 
은평구,501110 
서대문구,377804 
마포구,442239 
양천구,432721 
강서구,587168 
구로구,406215 
금천구,211171 
영등포구,415423 
동작구,446313 
관악구,565139 
서초구,495514 
강남구,636930 
송파구,759918 
강동구,522070 
종로구,221927 
중구,175800 
용산구,259897 
성동구,343279 
광진구,405684 
동대문구,382688 
중랑구,406187 
성북구,473833 
강북구,340898 
도봉구,325765 
노원구,571149 
은평구,501271 
서대문구,377515 
마포구,441164 
양천구,432801 
강서구,587401 
구로구,406700 
금천구,211297 
영등포구,414754 
동작구,447003 
관악구,565330 
서초구,495145 
강남구,635647 
송파구,759648 
강동구,522342 
종로구,221380 
중구,174804 
용산구,259653 
성동구,343565 
광진구,405456 
동대문구,382892 
중랑구,405959 
성북구,474137 
강북구,340892 
도봉구,326358 
노원구,570814 
은평구,501422 
서대문구,377723 
마포구,439795 
양천구,433339 
강서구,587613 
구로구,406908 
금천구,211340 
영등포구,414786 
동작구,447038 
관악구,565765 
서초구,495054 
강남구,635214 
송파구,759808 
강동구,522189 
종로구,224167 
중구,175235 
용산구,261534 
성동구,344401 
광진구,405137 
동대문구,383310 
중랑구,404941 
성북구,474065 
강북구,338828 
도봉구,325193 
노원구,569574 
은평구,498787 
서대문구,378602 
마포구,439629 
양천구,432652 
강서구,588154 
구로구,406663 
금천구,210957 
영등포구,417382 
동작구,446694 
관악구,564101 
서초구,497744 
강남구,637628 
송파구,759880 
강동구,521921 
종로구,226752 
중구,176792 
용산구,266237 
성동구,347465 
광진구,404930 
동대문구,383946 
중랑구,400806 
성북구,472305 
강북구,334547 
도봉구,323539 
노원구,566620 
은평구,495372 
서대문구,378354 
마포구,442451 
양천구,430966 
강서구,588740 
구로구,406026 
금천구,210346 
영등포구,423056 
동작구,445475 
관악구,560528 
서초구,509412 
강남구,646264 
송파구,761571 
강동구,521205 
종로구,238694 
중구,191587 
용산구,277790 
성동구,353223 
광진구,403858 
동대문구,384144 
중랑구,393382 
성북구,467406 
강북구,326548 
도봉구,318015 
노원구,557722 
은평구,487952 
서대문구,378918 
마포구,445058 
양천구,424229 
강서구,586624 
구로구,405415 
금천구,211807 
영등포구,437508 
동작구,442665 
관악구,550699 
서초구,540257 
강남구,671997 
송파구,764008 
강동구,517906 
종로구,275891 
중구,235211 
용산구,301358 
성동구,364195 
광진구,402647 
동대문구,387258 
중랑구,382081 
성북구,455225 
강북구,314010 
도봉구,311046 
노원구,545053 
은평구,473074 
서대문구,382241 
마포구,450266 
양천구,408873 
강서구,577495 
구로구,415358 
금천구,220247 
영등포구,487814 
동작구,435790 
관악구,533931 
서초구,581837 
강남구,728198 
송파구,763628 
강동구,508323 
종로구,345422 
중구,349996 
용산구,321958 
성동구,378503 
광진구,385094 
동대문구,388779 
중랑구,353234 
성북구,437107 
강북구,294770 
도봉구,290897 
노원구,517832 
은평구,430929 
서대문구,394390 
마포구,466322 
양천구,386020 
강서구,550250 
구로구,415680 
금천구,250551 
영등포구,545143 
동작구,414314 
관악구,490582 
서초구,649232 
강남구,858470 
송파구,760141 
강동구,476472 
종로구,395145 
중구,412547 
용산구,332523 
성동구,377146 
광진구,372334 
동대문구,386775 
중랑구,338635 
성북구,427572 
강북구,281873 
도봉구,277043 
노원구,505941 
은평구,407735 
서대문구,403975 
마포구,486939 
양천구,371415 
강서구,536932 
구로구,416292 
금천구,265666 
영등포구,562580 
동작구,396049 
관악구,456876 
서초구,698018 
강남구,971180 
송파구,759839 
강동구,460126 
종로구,424903 
중구,446744 
용산구,333084 
성동구,375479 
광진구,372599 
동대문구,388148 
중랑구,331030 
성북구,425889 
강북구,275473 
도봉구,269984 
노원구,500324 
은평구,395858 
서대문구,413746 
마포구,494794 
양천구,365051 
강서구,530884 
구로구,415273 
금천구,268669 
영등포구,569371 
동작구,392322 
관악구,445663 
서초구,719715 
강남구,1020385 
송파구,758981 
강동구,451196 
종로구,443068 
중구,470047 
용산구,334258 
성동구,374998 
광진구,371309 
동대문구,389912 
중랑구,325265 
성북구,427309 
강북구,272986 
도봉구,265241 
노원구,495223 
은평구,389464 
서대문구,418455 
마포구,500326 
양천구,360301 
강서구,524002 
구로구,411810 
금천구,270511 
영등포구,576102 
동작구,391166 
관악구,438457 
서초구,736936 
강남구,1049784 
송파구,755889 
강동구,446079 
종로구,456075 
중구,485379 
용산구,334301 
성동구,373418 
광진구,370300 
동대문구,393101 
중랑구,323483 
성북구,425776 
강북구,271674 
도봉구,262448 
노원구,490891 
은평구,384329 
서대문구,420932 
마포구,503831 
양천구,358157 
강서구,519687 
구로구,409775 
금천구,271055 
영등포구,579722 
동작구,390468 
관악구,434102 
서초구,745369 
강남구,1067523 
송파구,756935 
강동구,443023 
종로구,460147 
중구,493175 
용산구,336596 
성동구,374131 
광진구,370316 
동대문구,393956 
중랑구,321086 
성북구,425807 
강북구,269330 
도봉구,260346 
노원구,489447 
은평구,380933 
서대문구,423614 
마포구,508084 
양천구,358877 
강서구,516204 
구로구,408675 
금천구,270732 
영등포구,584961 
동작구,391386 
관악구,430986 
서초구,751647 
강남구,1082805 
송파구,756285 
강동구,440827 
종로구,460823 
중구,494311 
용산구,335699 
성동구,374284 
광진구,371337 
동대문구,394087 
중랑구,319900 
성북구,425528 
강북구,269109 
도봉구,259345 
노원구,490313 
은평구,380145 
서대문구,424603 
마포구,507114 
양천구,360288 
강서구,515433 
구로구,407560 
금천구,271869 
영등포구,586654 
동작구,392404 
관악구,429338 
서초구,752955 
강남구,1086613 
송파구,756052 
강동구,442041 
종로구,448806 
중구,481528 
용산구,335989 
성동구,375662 
광진구,373528 
동대문구,391475 
중랑구,323144 
성북구,427027 
강북구,272474 
도봉구,260499 
노원구,493137 
은평구,384175 
서대문구,421083 
마포구,510339 
양천구,362867 
강서구,516661 
구로구,409765 
금천구,272001 
영등포구,582945 
동작구,394531 
관악구,433488 
서초구,747176 
강남구,1081341 
송파구,756193 
강동구,446080 
종로구,431277 
중구,461483 
용산구,333445 
성동구,376760 
광진구,374893 
동대문구,388702 
중랑구,328612 
성북구,429121 
강북구,276024 
도봉구,264807 
노원구,493352 
은평구,391343 
서대문구,416416 
마포구,511571 
양천구,367847 
강서구,519285 
구로구,410783 
금천구,272806 
영등포구,577849 
동작구,396670 
관악구,438718 
서초구,739448 
강남구,1064510 
송파구,755104 
강동구,448400 
종로구,407827 
중구,431607 
용산구,329148 
성동구,377923 
광진구,383376 
동대문구,384568 
중랑구,336313 
성북구,431613 
강북구,281485 
도봉구,269683 
노원구,498675 
은평구,400471 
서대문구,414391 
마포구,512156 
양천구,377042 
강서구,520971 
구로구,416866 
금천구,268414 
영등포구,567561 
동작구,402729 
관악구,446972 
서초구,727203 
강남구,1038945 
송파구,760049 
강동구,452024 
종로구,367464 
중구,365740 
용산구,320538 
성동구,375328 
광진구,405159 
동대문구,381721 
중랑구,350674 
성북구,440163 
강북구,290414 
도봉구,280998 
노원구,512850 
은평구,421982 
서대문구,408715 
마포구,509277 
양천구,387134 
강서구,526607 
구로구,421613 
금천구,252065 
영등포구,538836 
동작구,416651 
관악구,471495 
서초구,693981 
강남구,978199 
송파구,765556 
강동구,465586 
종로구,333186 
중구,315998 
용산구,297150 
성동구,361484 
광진구,410451 
동대문구,383245 
중랑구,366729 
성북구,450956 
강북구,303190 
도봉구,292224 
노원구,532326 
은평구,442225 
서대문구,403639 
마포구,501504 
양천구,403548 
강서구,540005 
구로구,414242 
금천구,231926 
영등포구,501126 
동작구,426487 
관악구,497302 
서초구,643146 
강남구,888257 
송파구,766605 
