안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
사근동 2길4-1,1,99,사근동 2길4-1,서울특별시 성동구 사근동 2길4-1,서울특별시 성동구 사근동 301-82,37.5609158,127.0447435,1,N,N,N,알림 막다른길 지도,2017,2018-08-01,Y,성동구청,02-2286-5875,2019-06-03
사근동4길6,1,99,사근동4길6,서울특별시 성동구 사근동4길6,서울특별시 성동구 사근동 176-26,37.5604754,127.0459919,1,N,N,N,알림 막다른길 지도,2017,2018-08-01,Y,성동구청,02-2286-5876,2019-06-03
사근동8나길21,1,99,사근동8나길21,서울특별시 성동구 사근동8나길21,서울특별시 성동구 사근동 186-16,37.5594031,127.0475483,1,N,N,N,알림 막다른길 지도,2017,2018-08-01,Y,성동구청,02-2286-5877,2019-06-03
사근동12길44,1,99,사근동12길44,서울특별시 성동구 사근동12길44,서울특별시 성동구 사근동190-55,37.5599119,127.0483002,1,N,N,N,알림 막다른길 지도,2017,2018-08-01,Y,성동구청,02-2286-5878,2019-06-03
사근동10길1,1,99,사근동10길1,서울특별시 성동구 사근동10길1,서울특별시 성동구 사근동 181-7,37.5608429,127.0478774,1,N,N,N,알림 막다른길 지도,2017,2018-08-01,Y,성동구청,02-2286-5879,2019-06-03
