관서,발생건수
중구,9295
종로구,6505
중구,6575
서대문구,9951
종로구,6642
용산구,10213
성북구,6256
동대문구,13674
마포구,13146
영등포구,18486
성동구,9306
동작구,10317
광진구,12956
은평구,5510
강북구,11045
금천구,10508
중랑구,15010
강남구,21333
관악구,15492
강서구,17720
강동구,13094
성북구,5370
구로구,15360
서초구,15498
양천구,13457
송파구,20470
노원구,12181
서초구,4820
은평구,7238
도봉구,7906
강남구,13245
