관서,발생건수
종로구,6128
중구,5337
서대문구,9004
종로구,5613
용산구,10914
성북구,5322
동대문구,11316
마포구,15228
영등포구,18498
성동구,8754
동작구,8952
광진구,12005
은평구,3831
강북구,8980
금천구,10215
중랑구,11323
강남구,18789
관악구,15353
강서구,15611
강동구,10978
성북구,4651
구로구,13223
서초구,14505
양천구,10392
송파구,18407
노원구,11558
서초구,4051
은평구,6423
도봉구,6488
강남구,11486
