관서,발생건수
종로구,6923
중구,6011
서대문구,9524
종로구,6440
용산구,11670
성북구,5959
동대문구,12699
마포구,15478
영등포구,19311
성동구,8550
동작구,9296
광진구,13080
은평구,4527
강북구,10266
금천구,11600
중랑구,12624
강남구,20917
관악구,15809
강서구,16160
강동구,11821
성북구,4875
구로구,14613
서초구,15504
양천구,10900
송파구,18948
노원구,11814
서초구,4486
은평구,6573
도봉구,7041
강남구,12130
