관서,발생건수
중구,7814
종로구,6285
중구,6284
서대문구,10545
종로구,6306
용산구,9746
성북구,6589
동대문구,13852
마포구,14061
영등포구,19455
성동구,9381
동작구,10403
광진구,14111
은평구,5765
강북구,10921
금천구,10740
중랑구,13379
강남구,21316
관악구,15626
강서구,16837
강동구,13675
성북구,5616
구로구,15258
서초구,15004
양천구,12928
송파구,19360
노원구,12635
서초구,4885
은평구,7791
도봉구,8848
강남구,13069
