관서,발생건수
종로구,6824
중구,6572
서대문구,10760
종로구,6943
용산구,10952
성북구,6389
동대문구,12537
마포구,14750
영등포구,19076
성동구,9634
동작구,10494
광진구,14669
은평구,5517
강북구,10550
금천구,12308
중랑구,12498
강남구,21092
관악구,15814
강서구,15121
강동구,13014
성북구,5653
구로구,14377
서초구,15581
양천구,12690
송파구,20028
노원구,12562
서초구,4644
은평구,7274
도봉구,7561
강남구,12058
