관서,발생건수
중구,6214
종로구,5881
중구,5023
서대문구,8616
종로구,4868
용산구,10017
성북구,5080
동대문구,10568
마포구,14544
영등포구,17517
성동구,8129
동작구,8870
광진구,10768
은평구,3618
강북구,9385
금천구,10184
중랑구,10915
강남구,19127
관악구,14302
강서구,14670
강동구,10436
성북구,4000
구로구,12748
서초구,15120
양천구,10023
송파구,18233
노원구,11067
서초구,4404
은평구,6265
도봉구,6781
강남구,11624
