지방청,관서,검거건수(2011년)
서울,서울지방경찰청,3737 
서울,서울중부경찰서,6946 
서울,서울종로경찰서,4626 
서울,서울남대문경찰서,3904 
서울,서울서대문경찰서,7448 
서울,서울혜화경찰서,5045 
서울,서울용산경찰서,7338 
서울,서울성북경찰서,5346 
서울,서울동대문경찰서,10354 
서울,서울마포경찰서,10437 
서울,서울영등포경찰서,13362 
서울,서울성동경찰서,7477 
서울,서울동작경찰서,7575 
서울,서울광진경찰서,9409 
서울,서울서부경찰서,4748 
서울,서울강북경찰서,8589 
서울,서울금천경찰서,8161 
서울,서울중랑경찰서,12698 
서울,서울강남경찰서,14581 
서울,서울관악경찰서,11140 
서울,서울강서경찰서,13055 
서울,서울강동경찰서,10908 
서울,서울종암경찰서,4157 
서울,서울구로경찰서,11940 
서울,서울서초경찰서,10016 
서울,서울양천경찰서,10340 
서울,서울송파경찰서,14935 
서울,서울노원경찰서,10166 
서울,서울방배경찰서,3680 
서울,서울은평경찰서,5982 
서울,서울도봉경찰서,6127 
서울,서울수서경찰서,8862 
부산,부산지방경찰청,1333 
부산,부산중부경찰서,3758 
부산,부산동래경찰서,8386 
부산,부산영도경찰서,3107 
부산,부산동부경찰서,4585 
부산,부산진경찰서,11616 
부산,부산서부경찰서,3966 
부산,부산남부경찰서,9635 
부산,부산해운대경찰서,11120 
부산,부산사상경찰서,6741 
부산,부산금정경찰서,6698 
부산,부산사하경찰서,7517 
부산,부산연제경찰서,7340 
부산,부산강서경찰서,3054 
부산,부산북부경찰서,6491 
부산,부산기장경찰서,3481 
대구,대구지방경찰청,747 
대구,대구중부경찰서,6005 
대구,대구동부경찰서,11037 
대구,대구서부경찰서,8255 
대구,대구남부경찰서,5811 
대구,대구북부경찰서,12959 
대구,대구수성경찰서,12822 
대구,대구달서경찰서,7397 
대구,대구성서경찰서,9548 
대구,대구달성경찰서,3989 
인천,인천지방경찰청,992 
인천,인천중부경찰서,6277 
인천,인천남부경찰서,12911 
인천,인천남동경찰서,14295 
인천,인천부평경찰서,6588 
인천,인천삼산경찰서,6632 
인천,인천서부경찰서,9389 
인천,인천계양경찰서,8151 
인천,인천연수경찰서,6155 
인천,인천강화경찰서,1174 
광주,광주지방경찰청,364 
광주,광주동부경찰서,5744 
광주,광주서부경찰서,11450 
광주,광주남부경찰서,5747 
광주,광주북부경찰서,13617 
광주,광주광산경찰서,10776 
대전,대전지방경찰청,645 
대전,대전중부경찰서,7469 
대전,대전동부경찰서,5824 
대전,대전서부경찰서,5419 
대전,대전대덕경찰서,5292 
대전,대전둔산경찰서,9391 
울산,울산지방경찰청,316 
울산,울산중부경찰서,9517 
울산,울산남부경찰서,10912 
울산,울산동부경찰서,4079 
울산,울산울주경찰서,5189 
경기,경기지방경찰청,2118 
경기,경기수원중부경찰서,9776 
경기,경기수원남부경찰서,11620 
경기,경기수원서부경찰서,6971 
경기,경기안양동안경찰서,7270 
경기,경기안양만안경찰서,6455 
경기,경기군포경찰서,5748 
경기,경기성남수정경찰서,7122 
경기,경기성남중원경찰서,7390 
경기,경기분당경찰서,7866 
경기,경기부천소사경찰서,4806 
경기,경기부천원미경찰서,13188 
경기,경기부천오정경찰서,4072 
경기,경기의정부경찰서,12088 
경기,경기고양경찰서,9405 
경기,경기일산경찰서,11407 
경기,경기광명경찰서,6157 
경기,경기안산단원경찰서,10266 
경기,경기안산상록경찰서,8377 
경기,경기시흥경찰서,12750 
경기,경기평택경찰서,15140 
경기,경기남양주경찰서,11485 
경기,경기화성동부경찰서,8870 
경기,경기화성서부경찰서,7968 
경기,경기용인동부경찰서,9267 
경기,경기용인서부경찰서,5757 
경기,경기광주경찰서,6146 
경기,경기파주경찰서,9221 
경기,경기김포경찰서,6901 
경기,경기과천경찰서,1684 
경기,경기의왕경찰서,2581 
경기,경기양주경찰서,4750 
경기,경기동두천경찰서,2372 
경기,경기구리경찰서,5777 
경기,경기하남경찰서,3143 
경기,경기이천경찰서,5328 
경기,경기포천경찰서,4797 
경기,경기안성경찰서,4749 
경기,경기여주경찰서,2762 
경기,경기양평경찰서,2679 
경기,경기가평경찰서,1823 
경기,경기연천경찰서,1147 
강원,강원지방경찰청,782 
강원,강원춘천경찰서,8010 
강원,강원강릉경찰서,6397 
강원,강원원주경찰서,10479 
강원,강원동해경찰서,2632 
강원,강원태백경찰서,1182 
강원,강원속초경찰서,3607 
강원,강원삼척경찰서,1812 
강원,강원영월경찰서,850 
강원,강원정선경찰서,1392 
강원,강원홍천경찰서,1871 
강원,강원평창경찰서,1233 
강원,강원횡성경찰서,1303 
강원,강원고성경찰서,676 
강원,강원인제경찰서,666 
강원,강원철원경찰서,836 
강원,강원화천경찰서,444 
강원,강원양구경찰서,389 
충북,충북지방경찰청,484 
충북,충북청주흥덕경찰서,9474 
충북,충북청주상당경찰서,2961 
충북,충북청주청원경찰서,6080 
충북,충북충주경찰서,5280 
충북,충북제천경찰서,3428 
충북,충북영동경찰서,922 
충북,충북괴산경찰서,1256 
충북,충북단양경찰서,669 
충북,충북보은경찰서,704 
충북,충북옥천경찰서,1028 
충북,충북음성경찰서,2539 
충북,충북진천경찰서,1410 
충남,충남지방경찰청,385 
충남,충남천안서북경찰서,8512 
충남,충남천안동남경찰서,6124 
충남,충남서산경찰서,4791 
충남,충남논산경찰서,3520 
충남,충남아산경찰서,4904 
충남,충남공주경찰서,2464 
충남,충남보령경찰서,2861 
충남,충남당진경찰서,3291 
충남,충남세종경찰서,1594 
충남,충남홍성경찰서,1867 
충남,충남예산경찰서,1785 
충남,충남부여경찰서,1169 
충남,충남서천경찰서,1582 
충남,충남금산경찰서,1182 
충남,충남청양경찰서,537 
전북,전북지방경찰청,409 
전북,전북전주완산경찰서,8575 
전북,전북전주덕진경찰서,7749 
전북,전북군산경찰서,8276 
전북,전북익산경찰서,9249 
전북,전북정읍경찰서,2878 
전북,전북남원경찰서,2058 
전북,전북김제경찰서,2025 
전북,전북완주경찰서,1761 
전북,전북고창경찰서,1198 
전북,전북부안경찰서,1396 
전북,전북임실경찰서,508 
전북,전북순창경찰서,526 
전북,전북진안경찰서,392 
전북,전북장수경찰서,400 
전북,전북무주경찰서,521 
전남,전남지방경찰청,264 
전남,전남목포경찰서,8773 
전남,전남여수경찰서,8229 
전남,전남순천경찰서,8741 
전남,전남나주경찰서,2800 
전남,전남광양경찰서,3691 
전남,전남고흥경찰서,1306 
전남,전남해남경찰서,1759 
전남,전남무안경찰서,1444 
전남,전남장흥경찰서,1030 
전남,전남보성경찰서,898 
전남,전남영광경찰서,1176 
전남,전남화순경찰서,1545 
전남,전남함평경찰서,943 
전남,전남영암경찰서,1754 
전남,전남장성경찰서,1010 
전남,전남강진경찰서,987 
전남,전남담양경찰서,1248 
전남,전남곡성경찰서,1022 
전남,전남완도경찰서,1102 
전남,전남진도경찰서,786 
전남,전남구례경찰서,702 
경북,경북지방경찰청,392 
경북,경북경주경찰서,7340 
경북,경북포항북부경찰서,7389 
경북,경북포항남부경찰서,6477 
경북,경북구미경찰서,13011 
경북,경북경산경찰서,6015 
경북,경북안동경찰서,4410 
경북,경북김천경찰서,3340 
경북,경북영주경찰서,2932 
경북,경북영천경찰서,3356 
경북,경북상주경찰서,2238 
경북,경북문경경찰서,1880 
경북,경북칠곡경찰서,3089 
경북,경북의성경찰서,915 
경북,경북청도경찰서,870 
경북,경북영덕경찰서,838 
경북,경북울진경찰서,950 
경북,경북봉화경찰서,700 
경북,경북예천경찰서,855 
경북,경북성주경찰서,1437 
경북,경북청송경찰서,562 
경북,경북영양경찰서,229 
경북,경북군위경찰서,424 
경북,경북고령경찰서,883 
경북,경북울릉경찰서,121 
경남,경남지방경찰청,658 
경남,경남창원중부경찰서,9389 
경남,경남창원서부경찰서,5915 
경남,경남마산중부경찰서,5472 
경남,경남마산동부경찰서,7107 
경남,경남진주경찰서,10498 
경남,경남김해중부경찰서,9784 
경남,경남김해서부경찰서,6808 
경남,경남거제경찰서,7270 
경남,경남양산경찰서,6554 
경남,경남진해경찰서,4467 
경남,경남통영경찰서,4764 
경남,경남사천경찰서,3767 
경남,경남밀양경찰서,2780 
경남,경남거창경찰서,1287 
경남,경남합천경찰서,950 
경남,경남창녕경찰서,1540 
경남,경남고성경찰서,1517 
경남,경남하동경찰서,1195 
경남,경남남해경찰서,1172 
경남,경남함양경찰서,985 
경남,경남산청경찰서,783 
경남,경남함안경찰서,1786 
경남,경남의령경찰서,718 
제주,제주지방경찰청,176 
제주,제주동부경찰서,6606 
제주,제주서부경찰서,6846 
제주,제주서귀포경찰서,4278 
