지방청,관서,검거건수(2016년)
서울,서울지방경찰청,6711 
서울,서울중부경찰서,5387 
서울,서울종로경찰서,4435 
서울,서울남대문경찰서,3950 
서울,서울서대문경찰서,7410 
서울,서울혜화경찰서,4932 
서울,서울용산경찰서,8811 
서울,서울성북경찰서,5043 
서울,서울동대문경찰서,10284 
서울,서울마포경찰서,11287 
서울,서울영등포경찰서,13755 
서울,서울성동경찰서,7164 
서울,서울동작경찰서,7266 
서울,서울광진경찰서,9584 
서울,서울서부경찰서,3792 
서울,서울강북경찰서,8664 
서울,서울금천경찰서,7943 
서울,서울중랑경찰서,10743 
서울,서울강남경찰서,14891 
서울,서울관악경찰서,11883 
서울,서울강서경찰서,13068 
서울,서울강동경찰서,9576 
서울,서울종암경찰서,3890 
서울,서울구로경찰서,10369 
서울,서울서초경찰서,10200 
서울,서울양천경찰서,8481 
서울,서울송파경찰서,14480 
서울,서울노원경찰서,9211 
서울,서울방배경찰서,3650 
서울,서울은평경찰서,5375 
서울,서울도봉경찰서,6023 
서울,서울수서경찰서,9024 
부산,부산지방경찰청,3120 
부산,부산중부경찰서,3897 
부산,부산동래경찰서,7758 
부산,부산영도경찰서,3373 
부산,부산동부경찰서,4516 
부산,부산진경찰서,13395 
부산,부산서부경찰서,3801 
부산,부산남부경찰서,11865 
부산,부산해운대경찰서,10161 
부산,부산사상경찰서,7559 
부산,부산금정경찰서,7463 
부산,부산사하경찰서,7902 
부산,부산연제경찰서,7337 
부산,부산강서경찰서,3214 
부산,부산북부경찰서,6885 
부산,부산기장경찰서,3631 
대구,대구지방경찰청,1594 
대구,대구중부경찰서,5927 
대구,대구동부경찰서,9890 
대구,대구서부경찰서,7104 
대구,대구남부경찰서,5835 
대구,대구북부경찰서,6664 
대구,대구수성경찰서,9689 
대구,대구달서경찰서,7002 
대구,대구성서경찰서,8974 
대구,대구달성경찰서,4032 
대구,대구강북경찰서,6194 
인천,인천지방경찰청,1835 
인천,인천중부경찰서,6806 
인천,인천남부경찰서,13827 
인천,인천남동경찰서,15719 
인천,인천부평경찰서,8049 
인천,인천삼산경찰서,8004 
인천,인천서부경찰서,13421 
인천,인천계양경찰서,7795 
인천,인천연수경찰서,7981 
인천,인천강화경찰서,1634 
광주,광주지방경찰청,627 
광주,광주동부경찰서,4971 
광주,광주서부경찰서,11495 
광주,광주남부경찰서,5114 
광주,광주북부경찰서,13163 
광주,광주광산경찰서,11017 
대전,대전지방경찰청,819 
대전,대전중부경찰서,8535 
대전,대전동부경찰서,7295 
대전,대전서부경찰서,5627 
대전,대전대덕경찰서,4656 
대전,대전둔산경찰서,7934 
대전,대전유성경찰서,7450 
울산,울산지방경찰청,635 
울산,울산중부경찰서,10302 
울산,울산남부경찰서,12146 
울산,울산동부경찰서,5333 
울산,울산울주경찰서,6215 
경기남부,경기남부지방경찰청,3144 
경기남부,경기수원중부경찰서,14565 
경기남부,경기수원남부경찰서,17496 
경기남부,경기수원서부경찰서,9807 
경기남부,경기안양동안경찰서,8483 
경기남부,경기안양만안경찰서,7990 
경기남부,경기군포경찰서,7386 
경기남부,경기성남수정경찰서,9355 
경기남부,경기성남중원경찰서,9849 
경기남부,경기분당경찰서,12147 
경기남부,경기부천소사경찰서,6418 
경기남부,경기부천원미경찰서,18107 
경기남부,경기부천오정경찰서,5649 
경기남부,경기광명경찰서,8715 
경기남부,경기안산단원경찰서,16613 
경기남부,경기안산상록경찰서,13475 
경기남부,경기시흥경찰서,19608 
경기남부,경기평택경찰서,22678 
경기남부,경기화성동부경찰서,14861 
경기남부,경기화성서부경찰서,12492 
경기남부,경기용인동부경찰서,13843 
경기남부,경기용인서부경찰서,6817 
경기남부,경기광주경찰서,10210 
경기남부,경기김포경찰서,10241 
경기남부,경기과천경찰서,1794 
경기남부,경기의왕경찰서,3316 
경기남부,경기하남경찰서,5144 
경기남부,경기이천경찰서,7267 
경기남부,경기안성경찰서,6364 
경기남부,경기여주경찰서,4216 
경기남부,경기양평경찰서,3176 
경기북부,경기북부지방경찰청,678 
경기북부,경기의정부경찰서,12771 
경기북부,경기고양경찰서,10820 
경기북부,경기일산동부경찰서,14590 
경기북부,경기일산서부경찰서,240 
경기북부,경기남양주경찰서,17883 
경기북부,경기파주경찰서,12598 
경기북부,경기양주경찰서,6376 
경기북부,경기동두천경찰서,3001 
경기북부,경기구리경찰서,6349 
